"Ferreteria Hierros H.D.";"ventasibague@hierroshd.com";"Tel: (58) (295) 2482906";"Cl 9 3-73 El Espinal, Venezuela";"A Domicilio Servicio A Domicilio"
"U E COLEGIO TERESIANO NUESTRA SEÑORA DE COROMOTO";"";"Tel: (58) (212) 4814139";"El Paraíso Caracas, Venezuela";"Colegios"
"ESCUELA INTEGRAL MUNICIPAL CARLOS SOUBLETTE";"";"Tel: (58) (212) 2636213";"Bello Campo Caracas, Venezuela";"Colegios"
"COLEGIO INTEGRAL GUAYANA";"";"Tel: (58) (286) 9616001";"Sector los Olivos Ciudad Guayana Puerto Ordaz, Venezuela";"Colegios"
"COLEGIO LATINOAMERICANO S.R.L";"";"Tel: (58) (212) 4728524";"La Paz Caracas, Venezuela";"Colegios"
"ASOCIACIÓN DE PROMOCIÓN DE EDUCACIÓN POPULAR";"";"Tel: (58) (212) 4319511";"Caricuao Caracas, Venezuela";"Colegios"
"U E ANTONIO NICOLAS BRICEÑO";"";"Tel: (58) (212) 9753809";"Charallavito, Caracas Caracas, Venezuela";"Colegios"
"JARDIN DE INFANCIA AÑO BICENTENARIO";"";"Tel: (58) (212) 8606147";"Los Mecedores Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA COLEGIO LA DIVINA PROVIDENCIA";"";"Tel: (58) (286) 9614946";"Villa Africana Ciudad Guayana Puerto Ordaz, Venezuela";"Colegios"
"COLEGIO SAGRADA FAMILIA FE Y ALEGRÍA";"";"Tel: (58) (212) 4223057";"El Manguito, El Junquito Caracas, Venezuela";"Colegios"
"COLEGIO LA SANTISIMA TRINIDAD";"";"Tel: (58) (212) 8701372";"Catia Caracas, Venezuela";"Colegios"
"INSTITUTO EDUCACIONAL ANDRES BELLO";"";"Tel: (58) (295) 2421677";"Palo sano sur La Asunción, Venezuela";"Colegios"
"CENTRO DON BOSCO DE MARICHE";"";"Tel: (58) (212) 5321254";"Mariches, Filas De Mariche Filas de Mariche, Venezuela";"Colegios"
"U E COLEGIO LA MILAGROSA";"";"Tel: (58) (212) 3626877";"Cl Felix Rivas Caracas, Venezuela";"Colegios"
"INSTITUTO EDUCACIONAL HENRY CLAY";"";"Tel: (58) (212) 9431569";"Los Samanes, Caracas Caracas, Venezuela";"Colegios"
"U.E. COLEGIO NUESTRA SEÑORA DEL ROSARIO";"";"Tel: (58) (286) 9323408";"Av Antonio berrios Frente al parque los mangos Ciudad Guayana Puerto Ordaz, Venezuela";"Colegios"
"IPSOPOL";"";"Tel: (58) (212) 5783232";"La Candelaria Caracas, Venezuela";"Colegios"
"COLEGIO LA CONCEPCIÓN MONTALBÁN";"";"Tel: (58) (212) 4427055";"Montalbán Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA RÍO MANZANARE";"";"Tel: (58) (212) 2484145";"La Estrella, Charallave Caracas, Venezuela";"Colegios"
"COLEGIO JAPONES DE CARACAS";"";"Tel: (58) (212) 9611244";"El Hatillo Caracas, Venezuela";"Colegios"
"COLEGIO DOMINGO SAVIO";"";"Tel: (58) (251) 4453779";"Quinta Los Cinco Carrera 17, E/ Cl 41 y 42 Barquisimeto, Venezuela";"Colegios"
"COLEGIO SAN JOSÉ DE TARBES";"";"Tel: (58) (212) 7301074";"La Florida Caracas, Venezuela";"Colegios"
"HIPOPÓPTAMO JARDIN DE INFANCIA";"";"Tel: (58) (212) 9859774";"Los Naranjos Caracas, Venezuela";"Colegios"
"INSTITUTO LAS AMÉRICAS C.A";"";"Tel: (58) (212) 4845903";"Catedral Caracas, Venezuela";"Colegios"
"TALLER CREATIVO INFANTIL MIS BROCHITAS";"";"Tel: (58) (212) 2712135";"Cl París, La California Norte Caracas, Venezuela";"Colegios"
"UE ESCUELA PARROQUIAL SANTA TERESA";"";"Tel: (58) (212) 4846923";"Santa Teresa Caracas, Venezuela";"Colegios"
"UNIDAD BÁSICA CENTRO EDUCACIONAL TU PRIMERO";"";"Tel: (58) (212) 4429150";"Montalbán Caracas, Venezuela";"Colegios"
"COLEGIO SAN FRANCISCO DE SALES";"";"Tel: (58) (212) 5717187";"Guaicaipuro Caracas, Venezuela";"Colegios"
"INSTITUTO DE EDUCACIÓN INTEGRAL EL NIÑO DON SIMÓN";"";"Tel: (58) (212) 6900711";"Las Acacias Caracas, Venezuela";"Colegios"
"INSTITUTO GUAICAIPURO";"";"Tel: (58) (212) 7309333";"Av Los Jabillos, La Florida Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA COLEGIO LOS PROCERES";"";"Tel: (58) (286) 9291567";"Cl Meditarreneo Ciudad Guayana Puerto Ordaz, Venezuela";"Colegios"
"UNIDAD EDUCATIVA CENTRO PAULO VI";"";"Tel: (58) (212) 8720134";"Turumo Caracas, Venezuela";"Colegios"
"COLEGIO TIRSO DE MOLINA";"";"Telefax: (58) (212) 5526486";"Av Cristobal Rojas Con Av Humboldt, San Bernardino Caracas, Venezuela";"Colegios"
"U.E. GENERAL ISAIAS MEDINA ANGARITA CIMA";"";"Telefax: (58) (281) 2636889";"Av Santa Cruz N4 Ponzuelos Puerto de  la Cruz, Venezuela";"Colegios"
"COLEGIO MATER SALVATORIS";"";"Tel: (58) (212) 9931395";"Las Mercedes Caracas, Venezuela";"Colegios"
"COLEGIO HERMANAS CATEQUISTAS NUESTRA SEÑORA DE LOURDES";"";"Tel: (58) (212) 4816268";"Santa Teresa Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA JESUS OBRERO";"";"Tel: (58) (286) 9527091";"Rio Aro Av Este Oeste Ciudad Guayana Puerto Ordaz, Venezuela";"Colegios"
"ASOCIACION CIVIL NUESTRA SEÑORA DEL CARMEN";"";"Tel: (58) (286) 9233477";"Cantro Civico Ciudad Guayana Puerto Ordaz, Venezuela";"Colegios"
"COLEGIO SIMÓN BOLÍVAR LI";"";"Tel: (58) (212) 9767654";"Prados Del Este Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA ROBERTO MARTINEZ CENTENO";"";"Tel: (58) (281) 2763923";"Calle Colon Urdaneta Barcelona, Venezuela";"Colegios"
"U.E. INSTITUTO METROPOLITANO ADVENTISTA";"";"Tel: (58) (212) 2663374";"Cr3a. Pueblo Nuevo Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA PRIVADA COLEGIO ARAUCA";"";"Tel: (58) (212) 5514818";"San Bernardino Caracas, Venezuela";"Colegios"
"COLEGIO DE TRABAJADORES SOCIALES DE VENEZUELA";"";"Tel: (58) (212) 7938376";"Los Caobos Caracas, Venezuela";"Colegios"
"COLEGIO TERESIANO LA CASTELLANA";"";"Tel: (58) (212) 2665422";"La Castellana Caracas, Venezuela";"Colegios"
"INSTITUTO ATENAS DE SABANA GRANDE";"";"Tel: (58) (212) 7635218";"Bello Monte Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA INSTITUTO GRAN COLOMBIA";"";"Tel: (58) (241) 8584718";"Entra Paez y Comercio Valencia, Venezuela";"Colegios"
"RELIGIOSAS DOMINICAS SAGRADA FAMILIA";"";"Tel: (58) (212) 9536750";"El Rosal Caracas, Venezuela";"Colegios"
"INSTITUTO EDUCACIONAL MARISCAL SUCRE S.R.L";"";"Tel: (58) (212) 3520364";"Catia La Mar, Maiquetia Caracas, Venezuela";"Colegios"
"INSTITUTO PRINCIPAL EDUCATIVO C.A";"";"Tel: (58) (212) 4613755";"San Martín Caracas, Venezuela";"Colegios"
"LICEO JOSÉ GREGORIO HERNANDEZ";"";"Tel: (58) (212) 2485687";"Bolívar, Charallave Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA PEDRO ISAÍAS OJEDA BLANCO";"";"Tel: (58) (212) 3217163";"Páez, Los Teques Los Teques, Venezuela";"Colegios"
"COLEGIO AVE MARÍA";"";"Tel: (58) (212) 4725502";"El Paraíso Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA CAURIMARE UNO";"";"Tel: (58) (212) 9852982";"Caurimare Caracas, Venezuela";"Colegios"
"ASOCIACIÓN CIVIL COLEGIO PARROQUIAL SANTA TERESITA";"";"Tel: (58) (212) 8700832";"3Av El Parque, Urdaneta Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA COLEGIOS ASOCIADOS SER Y LA FE";"";"Tel: (58) (212) 2833754";"Los Palos Grandes Caracas, Venezuela";"Colegios"
"COLEGIO DEL SANTO ANGEL CONGREGACIÓN HERMANAS DEL ANGEL DE LA GUARDA";"";"Tel: (58) (239) 2256942";"Cl Ribas, Ocumare Del Tuy Ocumare del Tuy, Venezuela";"Colegios"
"INSTITUTO FUNDAMÉRICA";"";"Tel: (58) (212) 4848731";"Santa Teresa Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA COLEGIO PRIVADO MARÍA INMACULADA";"";"Tel: (58) (212) 5620730";"San José Caracas, Venezuela";"Colegios"
"CENTRO EDUCATIVO MONTALBAN";"";"Tel: (58) (212) 4437205";"Montalbán Caracas, Venezuela";"Colegios"
"PRE-ESCOLAR SIMÓN RODRÍGUEZ";"";"Tel: (58) (212) 2563095";"Macaracuay Caracas, Venezuela";"Colegios"
"COLEGIO JUAN E PESTALOZZI";"";"Tel: (58) (261) 7563073";"Grano de Oro Maracaibo, Venezuela";"Colegios"
"AC SANTIAGO DE LEÓN DE CARACAS";"";"Tel: (58) (212) 2842190";"La Floresta Caracas, Venezuela";"Colegios"
"ESCUELA BÁSICA JUAN LANDAETA";"";"Tel: (58) (212) 8708069";"Catia Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA COLEGIO ILUSTRE AMERICANO BARQUISIMETO, C.A.";"";"Tel: (58) (212) 2313455";"Cr23 E/Cl 27 Y 28 Caracas, Venezuela";"Colegios"
"COLEGIO SANTA MARIANA";"";"Tel: (58) (212) 3721992";"El Picacho, S Antonio De L Altos San Antonio De Los Altos, Venezuela";"Colegios"
"COLEGIO INMACULADA CONCEPCIÓN";"";"Tel: (58) (212) 7304413";"La Florida Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA COLEGIO SION";"";"Tel: (58) (285) 6540067";"Calle San Felix Ciudad Bolivar, Venezuela";"Colegios"
"UNIDAD EDUCATIVA COLEGIO BOLIVAR Y PALACIOS";"";"Tel: (58) (212) 4333871";"La Hacienda Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA COLEGIO MIS PRIMEROS ESTUDIOS";"";"Tel: (58) (212) 4727034";"Antímano Caracas, Venezuela";"Colegios"
"COLEGIO EL PLACER";"";"Tel: (58) (212) 9434124";"Baruta Caracas, Venezuela";"Colegios"
"ESCUELA PARROQUIAL MADRE CABRINI";"";"Tel: (58) (212) 8703666";"Catia Caracas, Venezuela";"Colegios"
"U.E. IDEAL INSTITUTO DE ENSEÑANAZA AMERICA LATINA";"";"Tel: (58) (281) 2864241";"El Carmen El peñonal Lecherías, Venezuela";"Colegios"
"U E INDEPENDENCIA DE 1810 C.A";"";"Tel: (58) (212) 4321897";"Caricuao Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA COLEGIO ALEJANDRO DE HUMBOLDT";"";"Tel: (58) (212) 3417466";"Urb Valle Arriba Cl C, Guatire Guatire, Venezuela";"Colegios"
"COLEGIO PRINCIPAL EDUCATIVO";"";"Tel: (58) (212) 4619767";"San Martín Caracas, Venezuela";"Colegios"
"FUNDACIÓN JUAN NEPOMUCENO CHAVEZ";"";"Tel: (58) (212) 9756321";"Valle Arriba Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA CENDRE";"";"Tel: (58) (212) 5520049";"San Bernardino Caracas, Venezuela";"Colegios"
"COLEGIO CHURUN MERO";"";"Tel: (58) (212) 5523554";"Cl Humboldt, San Bernardino Caracas, Venezuela";"Colegios"
"COLEGIO HUMBOLDT";"";"Tel: (58) (212) 7300580";"Alta Florida Caracas, Venezuela";"Colegios"
"COLEGIO SAN CAMILO S.R.L";"";"Tel: (58) (212) 6817750";"Coche Caracas, Venezuela";"Colegios"
"INSTITUTO CENTRO DOCENTE DE EDUCACIÓN";"";"Tel: (58) (212) 4831078";"Plaza Madariaga Caracas, Venezuela";"Colegios"
"INSTITUTO NUESTRA SEÑORA DE FÁTIMA";"";"Tel: (58) (212) 2341561";"Los Chorros Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA SAN ONOFRE";"";"Tel: (58) (212) 8610993";"Los Frailes Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA ALFA Y OMEGA";"";"Tel: (58) (212) 5527265";"San Jose Caracas, Venezuela";"Colegios"
"PREESCOLAR C.I.N.T.E.D.U.C COLEGIO DE INTEGRACIÓN EDUCATIVA";"";"Tel: (58) (212) 7303402";"La Florida Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA ALCAZAR DEL CENTRO";"";"Tel: (58) (212) 4844384";"Santa Teresa Caracas, Venezuela";"Colegios"
"ESCUELA NACIONAL BOGOTÁ";"";"Tel: (58) (212) 6312784";"El Cementerio Caracas, Venezuela";"Colegios"
"COLEGIO LA SALLE";"";"Tel: (58) (212) 7931545";"Los Caobos Caracas, Venezuela";"Colegios"
"COLEGIO SANTA MÓNICA";"";"Telefax: (58) (212) 6931696";"Cl Ramón Ignacio Méndez, Santa Mónica Caracas, Venezuela";"Colegios"
"GRUPO ESCOLAR NACIONAL DR G DELGADO P";"";"Tel: (58) (212) 6828002";"El Valle Caracas, Venezuela";"Colegios"
"ISEIT C.A";"";"Tel: (58) (212) 9435503";"La Trinidad Caracas, Venezuela";"Colegios"
"UEA MANUEL FELIPE TOVAR";"";"Tel: (58) (212) 3637523";"Av Ppal, Guarenas Guarenas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA CIUDAD CASARAPA C.A";"";"Tel: (58) (212) 3622997";"Ciudad Casarapa, Guarenas Guarenas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA PRIVADA FAYOL Y TAYLOR";"";"Tel: (58) (212) 4325586";"Caricuao Caracas, Venezuela";"Colegios"
"ASOCIACIÓN PARA UNA NUEVA EDUCACIÓN APUNE";"";"Tel: (58) (212) 7820665";"Cnas De Los Caobos Caracas, Venezuela";"Colegios"
"COLEGIO AMBROSIO PLAZA";"";"Tel: (58) (212) 3647860";"Independencia, Los Teques Los Teques, Venezuela";"Colegios"
"COLEGIO ESTADO LARA";"";"Tel: (58) (251) 8084100";"Calle 64 Esq Cr 12 Barquisimeto, Venezuela";"Colegios"
"UNIDAD EDUCATIVA DON ARISTIDES ROJAS";"";"Tel: (58) (243) 2333646";"Numero 9 Cl Sucre Norte Maracay, Venezuela";"Colegios"
"COLEGIO LA CONSOLACIÓN";"";"Tel: (58) (212) 7812223";"Los Caobos Caracas, Venezuela";"Colegios"
"COLEGIO SAN JOSÉ DEL AVILA";"";"Tel: (58) (212) 8602764";"Altagracia Caracas, Venezuela";"Colegios"
"U.E INSTITUTO AVANCE";"";"Tel: (58) (212) 4842102";"El Silencio Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA MILITARIZADA CORONEL JOSÉ MARÍA CAMACARO";"";"Tel: (58) (212) 2526026";"Cl 7 Caracas, Venezuela";"Colegios"
"UEP MARACAIBO";"";"Tel: (58) (212) 4513285";"San Martín Caracas, Venezuela";"Colegios"
"ACADEMIA NACIONAL DE CIENCIAS ECONOMICAS";"";"Tel: (58) (212) 4827842";"Catedral Caracas, Venezuela";"Colegios"
"CENTRO DE EDUCACION INICIAL "MANUELA SAENZ"";"";"Tel: (58) (243) 2468708";"Cl. Valencia San Miguel Maracay, Venezuela";"Colegios"
"COLEGIO PAULO VI S.R.L";"";"Tel: (58) (212) 4513126";"El Paraíso Caracas, Venezuela";"Colegios"
"GRUPO ESCOLAR REPÚBLICA DEL ECUADOR";"";"Tel: (58) (212) 4517727";"San Martín Caracas, Venezuela";"Colegios"
"CIEI";"";"Tel: (58) (212) 4713923";"Montalbán Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA ALEJO CARPENTIER";"";"Tel: (58) (281) 2761802";"Calle Juncal Cruce Con Calle Marina Barcelona, Venezuela";"Colegios"
"U.E.P COLEGIO BELAGUA";"";"Tel: (58) (212) 3412701";"Urb Las Rosas, Guatire Guatire, Venezuela";"Colegios"
"PILVE S.A";"";"Tel: (58) (212) 5779215";"Edif Polar Torre Oeste Ofic 12-A Plaza Venezuela, Caracas Caracas, Venezuela";"Colegios"
"COLEGIO ALEGRE DESPERTAR";"";"Tel: (58) (212) 2420997";"Masparro, El Marqués Caracas, Venezuela";"Colegios"
"COLEGIO MODERNO";"";"Tel: (58) (212) 8645432";"La Pastora Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA MARACAIBO";"";"Tel: (58) (212) 4514206";"San Martín Caracas, Venezuela";"Colegios"
"COLEGIO SAN MARCOS";"";"Tel: (58) (212) 2340689";"Campo Claro Caracas, Venezuela";"Colegios"
"ESCUELA POLIDEPORTIVA";"";"Tel: (58) (212) 5423047";"Santa Teresa Caracas, Venezuela";"Colegios"
"COLEGIO MARÍA AUXILIADORA";"";"Tel: (58) (212) 3225870";"Los Teques Los Teques, Venezuela";"Colegios"
"COLEGIO MADARIAGA";"";"Tel: (58) (212) 5639213";"San José Caracas, Venezuela";"Colegios"
"INSTITUTO CUMBRES DE CARACAS AC";"";"Tel: (58) (212) 9851736";"Cl Tauro Caracas, Venezuela";"Colegios"
"INSTITUTO VENEZOLANO DE METODOLOGÍA C.A";"";"Tel: (58) (212) 9512884";"Chacaito Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA SIMÓN BOLÍVAR Y GIUSEPPE GARIBALDI";"";"Tel: (58) (212) 2420364";"El Marqués Caracas, Venezuela";"Colegios"
"COLEGIO DR PRISTO VILLASMIL FE Y ALEGRÍA";"";"Tel: (58) (212) 4727366";"Antímano Caracas, Venezuela";"Colegios"
"COLEGIO NUESTRA SEÑORA DE LA PAZ";"";"Tel: (58) (212) 4428505";"Montalbán Caracas, Venezuela";"Colegios"
"LICEO PADRE MACHADO";"";"Tel: (58) (212) 6328064";"Las Acacias Caracas, Venezuela";"Colegios"
"COLEGIO SUCRE";"";"Tel: (58) (212) 2347365";"Sucre, Los Teques Los Teques, Venezuela";"Colegios"
"COLEGIO TERESIANO EL PARAÍSO LOS LAURELES";"";"Tel: (58) (212) 4822102";"El Paraíso Caracas, Venezuela";"Colegios"
"COLEGIO UNIVERSITARIO PROFESOR JOSÉ LORENSO PÉREZCARACAS";"";"Tel: (58) (212) 2418566";"La Urbina Caracas, Venezuela";"Colegios"
"INSTITUTO DE EDUCACIÓN ESPECIAL CARICUAO";"";"Tel: (58) (212) 4333523";"Caricuao Caracas, Venezuela";"Colegios"
"INSTITUTO JUANA DE ARCO";"";"Tel: (58) (212) 5526557";"Av Marqués Del Toro, San Bernardino Caracas, Venezuela";"Colegios"
"CENTRO EDUCACIONAL DE INVIDENTE FRANCISCO DE ASÍS";"";"Tel: (58) (212) 4221558";"El Junquito Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA INSTITUTO SAN LUCAS";"";"Tel: (58) (212) 2580282";"El Llanito Caracas, Venezuela";"Colegios"
"AYSE ASESORAMIENTO Y SERVICIOS EDUCATIVOS A.C";"";"Tel: (58) (212) 9457775";"La Esmeralda Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA DR ENRIQUE TOLEDO TRUJILLO";"";"Tel: (58) (212) 3720727";"Av Perimetral, S Antonio De L Altos San Antonio De Los Altos, Venezuela";"Colegios"
"COLEGIO CEPIA";"";"Tel: (58) (212) 5524071";"San Bernardino Caracas, Venezuela";"Colegios"
"COLEGIO DE LA PRESENTACIÓN";"";"Tel: (58) (212) 8700985";"Propatria Caracas, Venezuela";"Colegios"
"UEI MAESTRO FÉLIX ADAMS";"";"Tel: (58) (212) 6622885";"Los Chaguaramos Caracas, Venezuela";"Colegios"
"CEPEC";"";"Tel: (58) (212) 2354003";"Los Chorros Caracas, Venezuela";"Colegios"
"COLEGIO NUESTRA SEÑORA DE POMPEI";"";"Tel: (58) (212) 7305098";"La Florida Caracas, Venezuela";"Colegios"
"ESCUELA DE PUERICULTURA STELLA MATUTINA";"";"Tel: (58) (212) 7302401";"La Florida Caracas, Venezuela";"Colegios"
"ESCUELA TÉCNICA POPULAR DON BOSCO";"";"Tel: (58) (212) 2342766";"Los Ruices Caracas, Venezuela";"Colegios"
"LICEO DIEGO DE LOSADA";"";"Tel: (58) (212) 6724836";"El Valle Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA LOS CHAGUARAMOS";"";"Tel: (58) (212) 6614058";"Santa Mónica Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA NACIONAL LINO GALLARDO";"";"Tel: (58) (212) 8642331";"La Pastora Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA TÓMAS ALVA EDISÓN C.A";"";"Tel: (58) (212) 3322120";"Maiquetia Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA EL GIRASOL DE GIRALUNA";"";"Tel: (58) (261) 7428458";"Cl. 51 No. 11 - 104 Canta Claro Maracaibo, Venezuela";"Colegios"
"U.E. DR. JESUS MUÑOZ TEBAR";"";"Tel: (58) (241) 8227647";"C.C. Ines El Viñedo Valencia, Venezuela";"Colegios"
"ESCUELA INSTITUTO CECILIO ACOSTA";"";"Tel: (58) (212) 8702307";"Propatria Caracas, Venezuela";"Colegios"
"COLEGIO ACCIÓN ESCOLAR INTEGRAL";"";"Tel: (58) (212) 9931414";"Chuao Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA EL GRAN MAESTRO JESÚS";"";"Tel: (58) (212) 3311405";"Maiquetia Caracas, Venezuela";"Colegios"
"COLEGIO LOS CACIQUES";"";"Tel: (58) (212) 3643409";"C Acosta, Los Teques Los Teques, Venezuela";"Colegios"
"GUARDERÍA INFANTIL USB";"";"Tel: (58) (212) 8080292";"La Guaira, Maiquetia Caracas, Venezuela";"Colegios"
"UNIDAD DE EDUCACIÓN NACIONAL EDUARDO CREMA";"";"Tel: (58) (212) 4818791";"El Paraíso Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA INTEGRAL VENEZUELA";"";"Tel: (58) (281) 2860678";"Cl 11 colinas del neveri Lecherías, Venezuela";"Colegios"
"U.E. COLEGIO EDUARDO BLANCO";"";"Tel: (58) (281) 2810960";"Cl Guaiqueri Lecherías, Venezuela";"Colegios"
"COLEGIO PABLO SEXTO";"";"Tel: (58) (251) 2532821";"2 Cuadras del C.C. Las Trinitarias Cl Orinoco, Fundalara Barquisimeto, Venezuela";"Colegios"
"UNIDAD EDUCATIVA INSTITUTOS EDUCACIONALES ASOCIADOS";"";"Tel: (58) (212) 9761698";"El Peñon Caracas, Venezuela";"Colegios"
"A C COLEGIO MONTESANO";"";"Tel: (58) (212) 3314407";"Montesano, Maiquetia Caracas, Venezuela";"Colegios"
"U.E.P. ALEJANDRO OTERO";"";"Tel: (58) (283) 2552523";"Cll 19 Abril El Tigre, Venezuela";"Colegios"
"UNIDAD EDUCATIVA INSTITUTO SAN PANCRACIO MÁRTIR";"";"Tel: (58) (212) 6938756";"Santa Mónica Caracas, Venezuela";"Colegios"
"U E P COLEGIO SAN JOSÉ";"";"Tel: (58) (212) 3445784";"Sc El Desvío, Guatire Guatire, Venezuela";"Colegios"
"UNIDAD EDUCATIVA COLEGIO MONTALBÁN";"";"Tel: (58) (212) 4439621";"Montalbán Caracas, Venezuela";"Colegios"
"PREESCOLAR ANTONIO GÚZMAN BLANCO";"";"Tel: (58) (212) 3529477";"La Atlántida, Maiquetia Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA MANUEL MONTANER";"";"Tel: (58) (212) 4618147";"El Paraíso Caracas, Venezuela";"Colegios"
"COLEGIO CATÓLICO SAN JOSÉ";"";"Tel: (58) (251) 2534677";"Carrera 3 con Calle 10, Barrio Curazao Barquisimeto, Venezuela";"Colegios"
"COLEGIO VENEZUELA NUEVA";"";"Tel: (58) (212) 2580193";"Macaracuay Caracas, Venezuela";"Colegios"
"COLEGIO VENEZUELA SOBERANA";"";"Tel: (58) (212) 6710695";"El Valle Caracas, Venezuela";"Colegios"
"UE DIOCES JUAN P II";"";"Tel: (58) (212) 3315380";"10 De Marzo, Maiquetia Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA COLEGIO SAN LÁZARO";"";"Tel: (58) (212) 6618263";"Santa Mónica Caracas, Venezuela";"Colegios"
"COLEGIO CUBAGUA";"";"Tel: (58) (212) 9781148";"Cl Cordillera De Los Andes, Cumbres De Curumo Caracas, Venezuela";"Colegios"
"COLEGIO MONSEÑOR CASTRO";"";"Tel: (58) (212) 4825874";"Santa Teresa Caracas, Venezuela";"Colegios"
"CENTRO DE PROFESIONALIZACIÓN FE Y ALEGRÍA";"";"Tel: (58) (212) 2425949";"La Urbina Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA JOSÉ ANGEL DE ALAMO";"";"Tel: (58) (239) 2314840";"Av Ayacucho, Santa Teresa Santa Teresa, Venezuela";"Colegios"
"COLEGIO PARROQUIAL SAN RAMÓN NONATO";"";"Tel: (58) (212) 8731120";"Catia Caracas, Venezuela";"Colegios"
"PREESCOLAR NUESTRA SEÑORA DEL ROSARIO";"";"Tel: (58) (212) 9451673";"Baruta Caracas, Venezuela";"Colegios"
"AC INSTITUTO ORANGE";"";"Tel: (58) (212) 7933785";"Plaza Venezuela Caracas, Venezuela";"Colegios"
"PUBLIESA";"";"Tel: (58) (212) 5521533";"San Bernardino Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA INSTITUTO SANTA ANA";"";"Tel: (58) (212) 2523762";"Cr22, Cl 16 Caracas, Venezuela";"Colegios"
"ESCUELA BÁSICA PADRE MENDOZA";"";"Tel: (58) (212) 6725387";"El Valle Caracas, Venezuela";"Colegios"
"INSTITUTO DIDÁCTICO SIMÓN RODRIGUEZ";"";"Tel: (58) (212) 2570150";"La California Sur Caracas, Venezuela";"Colegios"
"ESCUELA BÁSICA NACIONAL PEDRO MANUEL RUIZ";"";"Tel: (58) (212) 8702454";"Catia Caracas, Venezuela";"Colegios"
"CENTRO ACADEMICO LA ACADEMIA";"";"Tel: (58) (212) 3732555";"El Picacho, S Antonio De L Altos San Antonio De Los Altos, Venezuela";"Colegios"
"PREESCOLAR Y GUARDERÍA INFANTIL LEV VYGOTSK";"";"Tel: (58) (212) 4715883";"Montalbán, Los Teques Los Teques, Venezuela";"Colegios"
"COLEGIO ISLÁMICO DE VENEZUELA";"";"Tel: (58) (212) 4728323";"El Paraiso Caracas, Venezuela";"Colegios"
"COLEGIO INVEDIN";"";"Tel: (58) (212) 7536513";"Cnas De Bello Monte Caracas, Venezuela";"Colegios"
"A C TERESA DE BOLÍVAR";"";"Tel: (58) (212) 2488249";"Centro, Charallave Caracas, Venezuela";"Colegios"
"A C U E N JUAN ANTONIO PÁEZ BONALDE";"";"Tel: (58) (212) 2256762";"Cl Ppal, Charallave Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATICA ESCUELA SAN VICENTE";"";"Tel: (58) (212) 4823985";"El Paraíso Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA ESTADAL LINO DE CLEMENTE";"";"Tel: (58) (212) 9455572";"La Trinidad Caracas, Venezuela";"Colegios"
"A C UNIDAD EDUCATIVA COLEGIO BELEN";"";"Tel: (58) (212) 2859840";"Los Palos Grandes Caracas, Venezuela";"Colegios"
"COLEGIO CENIME";"";"Tel: (58) (212) 6612279";"Santa Mónica Caracas, Venezuela";"Colegios"
"PREESCOLAR NUESTRA SEÑORA DE LA CHIQUINQUIRÁ";"";"Tel: (58) (212) 4720879";"La Vega Caracas, Venezuela";"Colegios"
