"CARRES";"";"Tel: (58) (244) 3225796";"Zona Industrial CI Presidente La Victoria, Venezuela";"Acarreos"
"SEGUNET, CORRETAJE DE SEGUROS, C.A.";"";"Tel: (58) (212) 7821223";"Torre Lincoln, Piso 6, Ofic. L Sabana Grande Caracas, Venezuela";"Corredores O Agentes De Seguros"
"CETRAC ADMINISTRADORA DE RIESGOS, C.A.";"";"Tel: (58) (243) 2177819";"Torre Sindoni, P-6 Ofic 14 Maracay, Venezuela";"Corredores O Agentes De Seguros"
"SECOFIN";"";"Tel: (58) (212) 7934112";"Av. Andrés Bello Caracas, Venezuela";"Corredores O Agentes De Seguros"
"POLICONSULT C.A.";"";"Tel: (58) (286) 9626233";"Torre guayana Mzz Local 3 y 4 Calle Cuchiveros, Alta Vista Ciudad Guayana Puerto Ordaz, Venezuela";"Corredores O Agentes De Seguros"
"MAKLER SOCIEDAD DE CORRETAJE DE SEGUROS C.A.";"";"Tel: (58) (291) 6438392";"Av Luis del Valle garcia CP La esmeralda Maturín, Venezuela";"Corredores O Agentes De Seguros"
"AB CORREDORES";"";"Tel: (58) (212) 7143304";"Cl. 11-1 Edif. Ge33, Piso Pb Lc C-4 Y C-3 La Urbina Caracas, Venezuela";"Corredores O Agentes De Seguros"
"GRUPO MONTES ASESORES";"";"Tel: (58) (241) 3645268";"Chacao San FErnando de Apure Valencia, Venezuela";"Corredores O Agentes De Seguros"
"MASSIMINI ANTONIO & NUBIA";"";"Tel: (58) (286) 9625933";"Calle Caura Edif monterrey Ciudad Guayana Puerto Ordaz, Venezuela";"Corredores O Agentes De Seguros"
"SEGUROS CORPORATIVOS C.A.";"";"Tel: (58) (269) 2473805";"C.I Monagas, Caja de Agua Punto Fijo, Venezuela";"Corredores O Agentes De Seguros"
"LA PREVISORA";"";"Tel: (58) (261) 7230011";"Av. 4, Bella Vista Con Calle 85 Falcón, Edif. Banco Caracas, PIso 2 Y 3. Maracaibo - Edo. Zulia Maracaibo, Venezuela";"Corredores O Agentes De Seguros"
"COMUPRE";"";"Tel: (58) (212) 7611377";"Av. Fco. Solano Sabana Grande Edif. Banvenes Piso 12, Ofic A Y B Caracas, Venezuela";"Corredores O Agentes De Seguros"
"C.A. DE SEGUROS AMERICAN INTERNATIONAL";"";"Tel: (58) (212) 9014311";"Av. Fco. De Miranda, Urb. Campo Alegre Edif. Seguros Venezuela, P-12 Y P- 6 Caracas, Venezuela";"Corredores O Agentes De Seguros"
"BANESCO SEGUROS";"";"Tel: (58) (212) 2637011";"Av. Francisco De Miranda, Chacao Caracas, Venezuela";"Corredores O Agentes De Seguros"
"CORFO SEGURIDAD";"";"Tel: (58) (212) 3721845";"Caracas Caracas, Venezuela";"Corredores O Agentes De Seguros"
"JM JOSÉ MÁRQUEZ";"";"Tel: (58) (241) 8245445";"Majay-Valencia Valencia, Venezuela";"Corredores O Agentes De Seguros"
"SEGA DENTAL C.A.";"";"Tel: (58) (212) 7617742";"Boulevard De Sabana Grande Edif. Centrum PIso 08, Ofc 8-C Caracas, Venezuela";"Corredores O Agentes De Seguros"
"SEGUROS CANARIAS DE VENEZUELA, C.A.";"";"Tel: (58) (261) 7922413";"Maracaibo Maracaibo, Venezuela";"Corredores O Agentes De Seguros"
"CQ - HMO ORGANIZACIÓN EN SALUD, C.A.";"";"Tel: (58) (212) 2072911";"Av. Principal De Los Ruices Edif. Lanex, P1 Caracas, Venezuela";"Corredores O Agentes De Seguros"
"GIL, HEBERT";"";"Tel: (58) (261) 7985755";"C.C. Las Carolinas Maracaibo, Venezuela";"Corredores O Agentes De Seguros"
"QUORUM SOCIEDAD DE CORRETAJE DE SEGUROS C.A.";"";"Tel: (58) (286) 9221219";"Vía Colombia Ciudad Guayana Puerto Ordaz, Venezuela";"Corredores O Agentes De Seguros"
"HISPANA DE SEGUROS C.A.";"";"Tel: (58) (212) 3327578";"Vargas Caracas, Venezuela";"Corredores O Agentes De Seguros"
"UNIVERSITAS DE SEGUROS, C.A.";"";"Tel: (58) (276) 3419379";"Torres Sofitasa Piso 8 Loc. 81-82 San Cristóbal, Venezuela";"Corredores O Agentes De Seguros"
"C.A. DE SEGUROS LA OCCIDENTAL";"";"Tel: (58) (261) 2002222";"Maracaibo Maracaibo, Venezuela";"Corredores O Agentes De Seguros"
"AON RISK SERVICES VENEZUELA, CORRETAJE DE SEGUROS, C.A.";"";"Tel: (58) (212) 4009200";"Cl. 8, La Urbina Caracas, Venezuela";"Corredores O Agentes De Seguros"
"SEGUROS MERCANTIL";"";"Tel: (58) (285) 8533762";"Paseo Meneces con Callejon Tomas de Heres Edf. Ana Planta Baja Loc. 8 Ciudad Bolivar, Venezuela";"Corredores O Agentes De Seguros"
"DAFLORES.COM VENEZUELA";"";"Tel: (58) (212) 7710488";"Venezuela Caracas, Venezuela";"Cursos De Floristería"
"CLOVER INTERNACIONAL";"";"Telefax: (58) (261) 7225808";"Av. (El Milagro) Edf. Las Palmeras PB. Locales 1 Y 2, Fte Al Puerto, Edo. Zulia Maracaibo, Venezuela";"Datos"
"INVERSIONES ARCHIDES, C.A. ARCHIDESCA";"";"Tel: (58) (261) 7523590";"Calle 73, Nú 16-45, Sector Delicias, Maracaibo Maracaibo, Venezuela";"Datos"
"FILEMOVILE, C.A.";"";"Tel: (58) (212) 9928289";"Av. Londres, Edif. Maracapana P.B. Las Mercedes Caracas, Venezuela";"Datos"
"NOVOSTIL";"";"Tel: (58) (212) 2679860";"Av. Fco. De Miranda, Entre Cl. Elice Y Ppal. De Bello Campo, Edif. Orinoco P.B. Ofic. C Y D, Chacao, Caracas Caracas, Venezuela";"Datos"
"A.R. ARCHIVOS RODANTES DE VENEZUELA, C.A.";"";"Tel: (58) (212) 2572859";"Av. Urimare 2, Macaracuay Caracas, Venezuela";"Datos"
"SCAN COPY PLOT, C.A.";"";"Tel: (58) (281) 2810290";"Av. Ppal de Lechería Lecherías, Venezuela";"Datos"
"FESTO, C.A.";"";"Tel: (58) (251) 2373555";"Av. Libertador Barquisimeto, Venezuela";"Datos"
"BODEGON DONDE ALFREDO,C.A.";"";"Tel: (58) (295) 2348169";"Av.31 de Julio, via playa El Agua, Estacion de Serv.B.P Sector Paraguachi Pampatar, Venezuela";"Delikatessen"
"BODEGON EL GUARIQUEÑO, C.A.";"";"Tel: (58) (295) 2530645";"Juan Griego Juan Griego, Venezuela";"Delikatessen"
"EL BODEGON DE SIMBAD, C.A";"";"Tel: (58) (281) 2679426";"Av. Nueva Esparta Sector Venecia Puerto de  la Cruz, Venezuela";"Delikatessen"
"MICROEMPRESAS BODEGON LA GIOCONDA";"";"Tel: (58) (289) 8083150";"Calle Roscio Santa Elena de Uairén, Venezuela";"Delikatessen"
"BODEGON LA RAS-K";"";"Tel: (58) (295) 2634476";"Av. 31 de Julio Porlamar, Venezuela";"Delikatessen"
"CORPORACION VEROTEX C.A.";"";"Tel: (58) (212) 9513670";"Chacaito Chacaíto , Venezuela";"Deportes Extremos"
"AIPPECA INVESTIGACIONES";"";"Tel: (58) (212) 5612338";"Esq San Jacinto A Doctor Paul, Catedral Caracas, Venezuela";"Detectives Privados"
"LINO CUICAS INVESTIGADOR";"";"Tel: (58) (251) 2320525";"Carrera 18, E/Cls 24y25 Barquisimeto, Venezuela";"Detectives Privados"
"SEGURIDAD INTEGRAL CORPORATIVA SEINCORSA C.A.";"";"Telefax: (58) (212) 7817366";"Torre Phelps Sotano 1 Of S-1 La Salle, Plaza Venzuela Caracas, Venezuela";"Detectives Privados"
"RINCÓN, CARMEN";"";"Tel: (58) (261) 7223518";"Paseo Ciencias, Maracaibo Maracaibo, Venezuela";"Detectives Privados"
"PROMOCIONES SERPIS 698 C.A";"";"Tel: (58) (212) 4711251";"El Algodonal Caracas, Venezuela";"Didacticos Y Juguetería"
"DESARROLLOS KIKIRIKI C.A";"";"Tel: (58) (212) 2484968";"Zona Ind Alvarenga Av. Tricentenaria A 10 Mts De Los Bomberos Charallave Edo Miranda Caracas, Venezuela";"Didacticos Y Juguetería"
"MAGÙCO";"";"Tel: (58) (285) 2820014";"Av. AmÉrico Vespucio C.C. Caribbean Mall, Local C2-334 Ciudad Bolivar, Venezuela";"Didacticos Y Juguetería"
"CRISTAL PARTY, C.A";"";"Tel: (58) (212) 9923252";"Caracas Caracas, Venezuela";"Didacticos Y Juguetería"
"DISTRIBUIDORA MELUCHA C.A";"";"Tel: (58) (212) 3412585";"Parque Industrial Guatire B Galpon G - 17 El Marques Guatire Edo Miranda Caracas, Venezuela";"Didacticos Y Juguetería"
"FJ MOSER EXPORTACIONES C.A";"";"Tel: (58) (212) 6617721";"Santa Monica Caracas, Venezuela";"Didacticos Y Juguetería"
"TITERES KASPER S.R.L";"";"Tel: (58) (212) 2416308";"Cl. 7 La Urbina Caracas, Venezuela";"Didacticos Y Juguetería"
"PLASTILEG, C.A.";"";"Tel: (58) (212) 2128336";"Cl. Emma Soler, Zona Ind. Marín Caracas, Venezuela";"Didacticos Y Juguetería"
"JUGUETELANDIA";"";"Tel: (58) (212) 9515031";"Av. Francisco De Miranda Edif. Juguetelandia Al Lado De La Torre Europa Caracas, Venezuela";"Didacticos Y Juguetería"
"INVERSIONES - HILEL C.A";"";"Telefax: (58) (212) 5412413";"Av. Universidad Charro A Coliseo Edif. Zulia Local A Caracas, Venezuela";"Didacticos Y Juguetería"
"DEPORTES Y JUGUETERÍA BAMBI, C.A.";"";"Tel: (58) (293) 4324448";"Av. Bermúdez Cumaná, Venezuela";"Didacticos Y Juguetería"
"OSITOS TOYS";"";"Tel: (58) (212) 5528664";"San Bernandino Caracas, Venezuela";"Didacticos Y Juguetería"
"JUGUETERIA PEDADOGICA";"";"Tel: (58) (261) 7416934";"Santa Rita Maracaibo, Venezuela";"Didacticos Y Juguetería"
"HOBBY 2000 JUGUETERIAS";"";"Tel: (58) (261) 7400709";"Sambil Maracaibo Maracaibo, Venezuela";"Didacticos Y Juguetería"
"COMERCIAL TRIPLE H C.A";"";"Tel: (58) (212) 5648382";"Marrón A Dr. Paul No 6 Caracas Caracas, Venezuela";"Didacticos Y Juguetería"
"SAMBO'S TOY STORE";"";"Tel: (58) (212) 2652265";"Centro San Ignacio Nivel Jardin Local J-25 Caracas, Venezuela";"Didacticos Y Juguetería"
"FUNTOYS DISTRIBUCIONES C.A";"";"Tel: (58) (212) 2386845";"Av. Sanatorio Del Avila Boleita Caracas, Venezuela";"Didacticos Y Juguetería"
"MATTEL DE VENEZUELA C.A";"";"Tel: (58) (212) 2561922";"Av. Mara C.C Maracuay Plaza Torre B Piso 8 Colinas De La California Caracas, Venezuela";"Didacticos Y Juguetería"
"FABRICA DE JUEGOS FAVENTOYS C.A";"";"Tel: (58) (212) 3624020";"Ppal. El Bosque Caracas, Venezuela";"Didacticos Y Juguetería"
"ALMACEN LA PRINCESA";"";"Tel: (58) (212) 5636938";"Esq. Dr. Paul Catedral Caracas, Venezuela";"Didacticos Y Juguetería"
"EL BOTON DE ORO";"";"Tel: (58) (212) 5649520";"Catedral Caracas, Venezuela";"Didacticos Y Juguetería"
"PLASTICOS LEE S.R.L";"";"Tel: (58) (276) 7871995";"Av Parceleros Z I Aguas Calientes Ureña, Venezuela";"Didacticos Y Juguetería"
"GRUPO HOBBY AND TOYS";"";"Tel: (58) (255) 6222977";"Acarigua Acarigua, Venezuela";"Didacticos Y Juguetería"
"KIMBERLY-CLARK";"";"Tel: (58) (212) 2012511";"Av Francisco De Miranda Con Av El Parque Edif Torre Edicampo Piso 8 Urb C ampo Alegre Caracas Caracas, Venezuela";"Dispensadores De Servilletas"
"CREACIONES LO MAXIMO, C.A";"";"Tel: (58) (241) 8353408";"Av Urdaneta No 89-32 Entre Pela Y Bermudez, Edif, Lo Máximo, Valencia, Ed o. Carabobo Valencia, Venezuela";"Dotaciones Industriales"
"IZUCA INDUSTRIA ZULIANA DE UNIFORMES";"";"Tel: (58) (261) 7221769";"Av. 4 (Bella Vista) Entre Calles 87 y 88, No. 87-118, Edif. Rodriguez Maracaibo, Venezuela";"Dotaciones Industriales"
"D' ALFE TEXTIL C.A";"";"Tel: (58) (212) 8715875";"Urbanizacion Ind Castillito, Cerca Del Big Low -Av 71 eNTRE cL 102/103, p arcela EM24 Caracas, Venezuela";"Dotaciones Industriales"
"PROARCA";"";"Tel: (58) (212) 2576734";"Zona Industrial La California Sur Av Trieste Con Cl Bostón Edif. La California P.B Caracas, Venezuela";"Dry Wall"
"TERMO SPAN C.A";"";"Tel: (58) (212) 7812653";"Fte A 7ma Transversal Caracas, Venezuela";"Dry Wall"
"FABRICACIÓN DE TABIQUES FRADIMECA C.A";"";"Tel: (58) (212) 2415744";"Av Ppal De La Urbina Edif Vaduz L-3 Caracas Caracas, Venezuela";"Dry Wall"
"CORPORACIÓN REVELAM, C.A.";"";"Tel: (58) (276) 3413922";"Cl. 4, Catedral San Cristóbal, Venezuela";"Dry Wall"
"MATO SUPLIDORES C.A";"";"Tel: (58) (212) 7307822";"Av Las Acacias No. 68 Qta Triana Cruce Con Andrés Bello (Norte) La Florida Caracas Caracas, Venezuela";"Dry Wall"
"INDUSTRIAS FRACOVEN C.A";"";"Tel: (58) (212) 2329614";"Boleita Norte Cl E Edif Revca No. 5, Caracas Caracas, Venezuela";"Dry Wall"
"FERRE PLUS";"";"Tel: (58) (212) 6332050";"Las Acacias Av Victoria Edif Virgilius Pb L-E Caracas, Venezuela";"Dry Wall"
"FIBRAS FIVENGLASS C.A";"";"Tel: (58) (244) 3223423";"Urb. Industrial Soco Cl. Norte La Victoria, Edo. Aragua La Victoria, Venezuela";"Dry Wall"
"TABI TECH 1711 C.A";"";"Tel: (58) (212) 6318492";"Urb Las Acacias Av El Parque Edif Ricoa P.B Apto 1 Caracas, Venezuela";"Dry Wall"
"FTM.CA";"";"Tel: (58) (212) 2423614";"Calle 9, Galpon FTM,CA La Urbina, Zona Industrial, Caracas - Venezuela Caracas, Venezuela";"Dry Wall"
"EDIFICACIONES FALCO";"";"Tel: (58) (212) 2393128";"Horizonte Caracas, Venezuela";"Edificaciones"
"EDIFICACIONES GILLVAR";"";"Tel: (58) (212) 5781736";"Parque Central Caracas, Venezuela";"Edificaciones"
"EDIFICACIONES TÚNEL";"";"Tel: (58) (212) 2839486";"Los Palos Grandes Caracas, Venezuela";"Edificaciones"
"EDIFICACIONES GILBAR";"";"Tel: (58) (212) 5760563";"El Conde Caracas, Venezuela";"Edificaciones"
"EDIFICACIONES MARETA C.A";"";"Tel: (58) (212) 2581380";"Macaracuay Caracas, Venezuela";"Edificaciones"
"EDIFICACIONES ROMAR C.A";"";"Tel: (58) (212) 2636871";"Chacao Caracas, Venezuela";"Edificaciones"
"REWALT EDIFICACIONES C.A.";"";"Tel: (58) (212) 2341921";"Edif. Johnson & Johnson P 6 Of 6-A, Los Dos Caminos Caracas, Venezuela";"Edificaciones"
"EDIFICACIONES A-H C.A";"";"Tel: (58) (212) 7625791";"Sabana Grande Caracas, Venezuela";"Edificaciones"
"EDIFICACIONES ALBA C.A";"";"Tel: (58) (212) 9761101";"Manzanares Caracas, Venezuela";"Edificaciones"
"EDIFICACIONES COIDECA EDIFICIO C.A";"";"Tel: (58) (212) 3613062";"Industrial Cloris, Guarenas Guarenas, Venezuela";"Edificaciones"
"PROYECTOS Y EDIFICACIONES LACARRA S.R.L";"";"Tel: (58) (212) 2392139";"Boleita Caracas, Venezuela";"Edificaciones"
"CEVAZ";"";"Tel: (58) (261) 7180845";"Calle 63 3E-60 Maracaibo, Venezuela";"Educacion En El Exterior"
"INSTITUTO BOLIVARIANO DE EDUCACIÓN ESPECIAL";"";"Tel: (58) (212) 4325210";"Caricuao Caracas, Venezuela";"Educación Especial"
"INSTITUTO EDUCACIÓN ESPECIAL BICENTENARIO";"";"Tel: (58) (212) 8605621";"La Pastora Caracas, Venezuela";"Educación Especial"
"INSTITUTO DE EDUCACIÓN ESPECIAL CARICUAO";"";"Tel: (58) (212) 4333523";"Caricuao Caracas, Venezuela";"Educación Especial"
"INSTITUTO DE EDUCACIÓN ESPECIAL MYRIAM OHED DE VELEZ";"";"Tel: (58) (212) 4628152";"El Paraíso Caracas, Venezuela";"Educación Especial"
"SUMITEX, C.A.";"";"Tel: (58) (276) 7715829";"Vía Aeropuerto, Sector Garrochal, Edif. Kamon Loc.B2-284, San Antonio San Antonio del Táchira, Venezuela";"Elásticos"
"EMPAQUETADURAS INDUSTRIALES DEL CENTRO, C.A";"";"Tel: (58) (245) 5714574";"Sector Altamira Guacará, Venezuela";"Empaquetadoras"
"SIRECA C.A.";"";"Tel: (58) (212) 4720965";"CC Centro Vista L/A-13 Caracas, Venezuela";"Empaquetadoras"
"MANUFACTURAS MULTIPLES INDUSTRIALES, S.A.";"";"Tel: (58) (281) 2654414";"Calle Concordia, Res-Concordia Puerto de  la Cruz, Venezuela";"Empaquetadoras"
"SERVIEMPAQUES BAG & PACK";"";"Tel: (58) (212) 7514384";"Av. Caurimare, Cnas De Bello Monte, Caracas Caracas, Venezuela";"Empaquetadoras"
"EMATRO ORIENTE, C.A.";"";"Tel: (58) (281) 2636228";"Calle Principal de Tierra Adentro. Local 43B Puerto la Cruz Puerto de  la Cruz, Venezuela";"Empaquetadoras"
"INGEMERCA, C.A.";"";"Tel: (58) (286) 9945566";"Zona Ind Los Pinos Ciudad Guayana Puerto Ordaz, Venezuela";"Empaquetadoras"
"GRUPO CONSULTOR PENDARE C.A.";"";"Tel: (58) (212) 6133371";"Av Paez Catia La Mar Caracas, Venezuela";"Energia"
"TÉCNICA FASE, S.A.";"";"Tel: (58) (212) 2395629";"Av. Francisco De Miranda, Boleíta Caracas, Venezuela";"Energia"
"TOROTRAC";"";"Tel: (58) (212) 9515945";"Cl. Venezuela, Bello Monte Caracas, Venezuela";"Energia"
"OCTONSOLAR IMPORTADORA";"";"Tel: (58) (212) 7540022";"Sabana Grande Caracas, Venezuela";"Energia"
"INGESOL C.A.";"";"Tel: (58) (212) 7629926";"2da Av L Delicias, Sabana Grande Caracas, Venezuela";"Energia"
"CHEMICAL CONTAINMENT ANDINA, C.A.";"";"Tel: (58) (243) 5517627";"Av Gustaf Dalen Zona Ind La Hamaca, Maracay Maracay, Venezuela";"Envases De Hojalata"
"TECNIENVASE C.A.";"";"Tel: (58) (212) 3839414";"La Llovizna, Carrizal Carrizal, Venezuela";"Envases De Hojalata"
"GREIF VENEZUELA C.A.";"";"Tel: (58) (241) 5712915";"2da Tv De Paraparal Zona Ind Los Guayos Edo Carabobo, Guacara Valencia, Venezuela";"Envases De Hojalata"
"PLASTICOS AURORA C.A.";"";"Tel: (58) (212) 2442870";"Ct Petare-Guarenas Km 14 Caucaguita Edo Miranda Turumo, Venezuela";"Envases De Hojalata"
"MONTAÑES GRUPO INDUSTRIAL S.A.";"";"Tel: (58) (212) 3383542";"Zona Ind Las Vegas Caracas, Venezuela";"Envases De Hojalata"
"USIK, C.A.";"";"Tel: (58) (243) 2323741";"Av L Delicias, El Bosque Maracay, Venezuela";"Equipos Audiovisuales"
"3M MANUFACTURERA VENEZUELA, S.A.";"";"Tel: (58) (212) 9578111";"Final Av Tamanaco, El Rosal Centro Empresarial El Rosal Piso 6, (Al Lado Del Centro Lido) Caracas, Venezuela";"Equipos Audiovisuales"
"INTERAKTIVO'S MEDIOS AUDIOVISUALES 1, C.A.";"";"Tel: (58) (295) 2628084";"Polamar Porlamar, Venezuela";"Equipos Audiovisuales"
"CASA HELLMUND & CIA";"";"Tel: (58) (212) 2383364";"Av. Diego Cisneros Los Ruices Piso 3, Los Ruices 1071-A Caracas, Venezuela";"Equipos Audiovisuales"
"SISTEMAS AUDIOVISUALES H2006,C.A.";"";"Tel: (58) (212) 4625628";"Esq. Cruz De la Vega, San Martín Caracas, Venezuela";"Equipos Audiovisuales"
"EPSON VENEZUELA";"";"Tel: (58) (212) 2401111";"Cl 4 C/C 11-1 La Urbina Sur Caracas, Venezuela";"Equipos Audiovisuales"
"G RISSO AUDIO, C.A.";"";"Tel: (58) (212) 2576078";"Av Sn Francisco, Cnas De L California Caracas, Venezuela";"Equipos Audiovisuales"
"MEDIA C.A.";"";"Tel: (58) (212) 2376117";"Boleita Norte, Caracas Caracas, Venezuela";"Equipos Audiovisuales"
"AUDIOEVENTOS, VIP C.A.";"";"Telefax: (58) (212) 7432878";"Av. Stgo De Chile, Los Caobos Caracas, Venezuela";"Equipos Audiovisuales"
"SONDESISTEM TECNOLOGIAS DE INFORMACIÓN C.A";"";"Telefax: (58) (212) 7622790";"Av Venezuela, Torre América, Piso 10 No. 1001, San Antonio El Recreo Caracas, Venezuela";"Equipos Audiovisuales"
"SOLUCIONES DATASHOW, C.A.";"";"Telefax: (58) (212) 2378973";"Caracas Caracas, Venezuela";"Equipos Audiovisuales"
"REGALO RENTAL";"";"Tel: (58) (212) 7315268";"Callejón Negrín Con Cl Negrín, Qta. 0525 La Florida, Caracas 1050 Caracas, Venezuela";"Equipos Audiovisuales"
"AUDIO CONCEPT, C.A.";"";"Tel: (58) (212) 9932882";"Cl. Madrid, Entre Clles Trinidadad Y Mucuchíes, Qta. Monteserino, Las Mer cedes, Caracas Caracas, Venezuela";"Equipos Audiovisuales"
"MI ESCRITORIO AUDIOVISUAL, C.A.";"";"Tel: (58) (212) 7316040";"Alta Florida Caracas, Venezuela";"Equipos Audiovisuales"
"A P S AUDIO PROJECT SERVICES, C.A.";"";"Tel: (58) (261) 7971376";"Av. 8 Santa Rita Hotel Kristof Maracaibo, Venezuela";"Equipos Audiovisuales"
"VIDEO COMPUTACIÓN ACUARIO";"";"Tel: (58) (212) 9932277";"C.C. Cada De Las Mercedes, Ofic. 2 Caracas, Venezuela";"Equipos Audiovisuales"
"PHASE AUDIO";"";"Tel: (58) (212) 9532185";"Av. Libertador, Edf. Exa 1 Piso. Ofc. 124, Caracas Caracas, Venezuela";"Equipos Audiovisuales"
"AUDIO G&M LIVE";"";"Telefax: (58) (212) 6325928";"Los Palos Grandes Caracas, Venezuela";"Equipos Audiovisuales"
"AUDIO VISUAL DEPOT";"";"Tel: (58) (274) 2679237";"Oficina Mérida, Venezuela";"Equipos Audiovisuales"
"INSTITUTO DE FORMACIÓN CINEMATOGRÁFICA COTRAIN";"";"Tel: (58) (212) 7316669";"Av Andrés Bello La Florida Caracas, Venezuela";"Equipos Audiovisuales"
"ALL SOLUCIONES SHA, C.A.";"";"Tel: (58) (212) 4812143";"Av Arismendi, El Paraíso Caracas, Venezuela";"Equipos Audiovisuales"
"LA PEÑA A P PRODUCCIONES, C.A.";"";"Tel: (58) (212) 7538063";"Av Chama, Cnas De Bello Monte Caracas, Venezuela";"Equipos Audiovisuales"
"ACOSTAMÚSICA JLA MULTIEVENTOS, C.A.";"";"Tel: (58) (212) 2660143";"Cl Cecilio Acosta, Edif. Las Ortencias, Piso Pb, Chacao Caracas, Venezuela";"Equipos Audiovisuales"
"LUITRONIC SISTEMAS C.A";"";"Tel: (58) (212) 2411710";"Cl 3 A Torre Express Piso 1 Ofic 1F La Urbina, Caracas Caracas, Venezuela";"Equipos Audiovisuales"
"SIGNAL TECHNOLOGY";"";"Telefax: (58) (212) 2645840";"Caracas Caracas, Venezuela";"Equipos Audiovisuales"
"AUDIOSON";"";"Tel: (58) (212) 2653061";"Av. Fco De Miranda Entre Cl. La Joya Y El Metro, Edf. Tucuragua Caracas, Venezuela";"Equipos De Sonido"
"ELECTRONICA PANAMERICANA C.A";"";"Tel: (58) (276) 5175590";"Cr 5 No. 4-42 Barrio Lagunita San Antonio del Táchira, Venezuela";"Equipos De Sonido"
"CASA MUSICAL C.A";"";"Tel: (58) (276) 3436085";"Cr 11 San Cristóbal, Venezuela";"Equipos De Sonido"
"AUDIOVISIÓN GV C.A";"";"Tel: (58) (261) 7987408";"Cl. 75, Entre Avenidas 14B Y 15 Mini C.C. Jatem, Loc 4 Las Delicias Maracaibo, Venezuela";"Equipos De Sonido"
"SONI CLAASH AUTOACCESORIOS, S.R.L.";"";"Tel: (58) (241) 8584780";"Av Uslar Con Michelena, Frente A C.C. Michelena, Valencia Valencia, Venezuela";"Equipos De Sonido"
"CAR©S BOUTIQUE CASTILLITO, C.A.";"";"Tel: (58) (241) 8715169";"Av Interc Sn Diego, Zona Ind Castillito, Valencia Valencia, Venezuela";"Equipos De Sonido"
"SANTY SONIDO, S.R.L.";"";"Tel: (58) (241) 8471289";"Prolongación Martín Tovar Urb. La Castellana, Valencia Valencia, Venezuela";"Equipos De Sonido"
"EL PODER DEL SONIDO";"";"Tel: (58) (241) 8589585";"Av Días Moreno Valencia, Venezuela";"Equipos De Sonido"
"REPUESTOS Y SONIDO SONIDO SAN ANTONIO C.A";"";"Tel: (58) (276) 7715283";"Cr 6 No. 2-50 Barrio Lagunita San Antonio del Táchira, Venezuela";"Equipos De Sonido"
"AUDIO MARKET";"";"Tel: (58) (276) 3533816";"Barrio Obrero San Cristóbal, Venezuela";"Equipos De Sonido"
"MEDIA C.A.";"";"Tel: (58) (212) 2376117";"Boleita Norte, Caracas Caracas, Venezuela";"Equipos De Sonido"
"SONISILVER C.A";"";"Tel: (58) (276) 7437944";"La Romera San Cristóbal, Venezuela";"Equipos De Sonido"
"AUTO SONIDO & ACCESORIOS CJ";"";"Telefax: (58) (276) 7717248";"Cl 2 San Antonio San Antonio del Táchira, Venezuela";"Equipos De Sonido"
"PARASONIDO";"";"Tel: (58) (276) 3551463";"Cr 22 No. 12-125, Barrio Obrero San Cristóbal, Venezuela";"Equipos De Sonido"
"AUDIOEVENTOS, VIP C.A.";"";"Telefax: (58) (212) 7432878";"Av. Stgo De Chile, Los Caobos Caracas, Venezuela";"Equipos De Sonido"
"LA ROCOLA";"";"Tel: (58) (261) 7984330";"Cl 69 Con Av 13A No. 13-86 Sector Tierra Negra, Maracaibo Maracaibo, Venezuela";"Equipos De Sonido"
"INVERSIONES TOP MUSIC C.A";"";"Tel: (58) (241) 8253728";"Negra Hipólita Valencia, Venezuela";"Equipos De Sonido"
"PROESA EVENTOS C.A";"";"Tel: (58) (241) 8254244";"Av Andrés Eloy Blanco, Santa Cecilia Valencia, Venezuela";"Equipos De Sonido"
"A P S AUDIO PROJECT SERVICES, C.A.";"";"Tel: (58) (261) 7971376";"Av. 8 Santa Rita Hotel Kristof Maracaibo, Venezuela";"Equipos De Sonido"
"AUTO SONIDO ORIENTE";"";"Tel: (58) (212) 2660017";"Calle Bolivar Nro 224 los Yaques Caracas, Venezuela";"Equipos De Sonido"
"PUERTO GAS,C.A.";"";"Tel: (58) (281) 2862745";"Av Intercomunal,Las Garzas Barcelona, Venezuela";"Equipos Gasodomésticos"
"TROPIGAS S.A C.A";"";"Tel: (58) (212) 3214480";"Los Teques Los Teques, Venezuela";"Equipos Gasodomésticos"
"HERMAGAS,C.A.";"";"Tel: (58) (295) 2636262";"Cl Campos Porlamar, Venezuela";"Equipos Gasodomésticos"
"TRICADA GAS,C.A.";"";"Tel: (58) (263) 2693180";"Sector San Antonio Villa del Rosario, Venezuela";"Equipos Gasodomésticos"
"S. INDUSTRIAL C.A.";"";"Tel: (58) (212) 9417780";"Centro Profesional Los Samanes Of. 2D. Av. Uno. Urb. Los Samanes. Caracas Caracas, Venezuela";"Equipos Para Agricultura"
"AGRÍCOLA SELE";"";"Tel: (58) (244) 3960176";"Carretera Nacional Cagua - La Villa, Cagua, Edo. Aragua Cagua, Venezuela";"Equipos Para Agricultura"
"AGROFORESTAL BALLOR";"";"Tel: (58) (276) 7710252";"Pueblo Nuevo San Antonio del Táchira, Venezuela";"Equipos Para Agricultura"
"AGROMASSEY RB, C.A.";"";"Tel: (58) (244) 5325664";"Carrt. Nac. Cagua-La Encrucijada Zona Ind. Av. Octavio Viana S. Juan De Los Morros, Av. Ind. Barinas Cagua, Venezuela";"Equipos Para Agricultura"
