"ACADEMIA DE BELLEZA KISMET";"";"Tel: (58) (212) 2659143";"Av Fco De Miranda Edif Los Llanos, Chacao Caracas, Venezuela";"Academia De Belleza"
"CENTRO MEDICO DE CABIMAS";"";"Tel: (58) (264) 2004100";"Av. Miraflores N³2, Cabimas, Edo. Zulia. Cabimas, Venezuela";"Centros Médicos"
"CENTRO MÉDICO SAN ROMAN";"";"Tel: (58) (276) 3560826";"Cl. 14, Barrio Obrero San Cristóbal, Venezuela";"Centros Médicos"
"CERRAJERÍA ALEMÁN";"";"Tel: (58) (212) 4826441";"El Silencio Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA SAN PEDRO";"";"Tel: (58) (251) 4467505";"Carrera 19 Barquisimeto, Venezuela";"Cerrajerías"
"CERRAJERÍA EL MAGO, C.R.L.";"";"Telefax: (58) (276) 3431917";"Cl 10 San Cristóbal, Venezuela";"Cerrajerías"
"CERRAJERÍA LLAVEXPRESS C.A";"";"Tel: (58) (212) 3442718";"Principal, El Desvío Guatire Guatire, Venezuela";"Cerrajerías"
"CERRAJERÍA ISACHE C.A";"";"Tel: (58) (212) 8735463";"Av Ppal Propatria, Cl 8 Caracas, Venezuela";"Cerrajerías"
"APERTURA CERRAJERÍA APERTURA 2021 C.A";"";"Tel: (58) (212) 6320989";"Av Nva Granada, La Bandera Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA AUTOLLAVES C.A";"";"Tel: (58) (212) 2630972";"Chacao Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA SAN MARTÍN";"";"Tel: (58) (212) 4718144";"Av O'Higgins, El Paraíso Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA JOHNY BRAVO";"";"Tel: (58) (212) 3527696";"La Atlántida, Maiquetia Caracas, Venezuela";"Cerrajerías"
"AUTO S CERRAJERIA RL.";"";"Tel: (58) (243) 7112369";"Urb. San Ignacio, Calle Principal, Local 164 Maracay, Venezuela";"Cerrajerías"
"CERRAJERÍA "MIQUILEN" S.R.L";"";"Tel: (58) (212) 3645758";"Av Independencia No. 2 Los Teques Frente A Floristeria Guaicaipuro Los Teques, Venezuela";"Cerrajerías"
"CERRAJERÍA AUTO LLAVE";"";"Tel: (58) (261) 7521004";"Entre Cl 71 Y 72 Frente A Mc Donald©s, 5 De Julio Av 5 De Julio Maracaibo, Venezuela";"Cerrajerías"
"CERRAJERÍA VENEZUELA";"";"Tel: (58) (276) 7716144";"C 7 No. 6-53 San Antonio del Táchira, Venezuela";"Cerrajerías"
"CERRAJERIA BETO'S, C.A.";"";"Tel: (58) (245) 5640476";"Cl. Montilla, Guacara Guacará, Venezuela";"Cerrajerías"
"CERRAJERIA J. LAREZ";"";"Tel: (58) (281) 2674065";"Cl Simon Rodriguez Puerto de  la Cruz, Venezuela";"Cerrajerías"
"AUTO CERRAJERÍA EL CONDE";"";"Tel: (58) (212) 2845486";"Los Palos Grandes Caracas, Venezuela";"Cerrajerías"
"BLOKEA SISTEMAS DE SEGURIDAD C.A";"";"Tel: (58) (212) 4848964";"Av José Antonio Páez C.C Los Pinos, Edif Blancar Pb Locales 2, 3 Y 4 El Paraíso (Al Lado Del Horel Ramo Blanco) Caracas, Venezuela";"Cerrajerías"
"EL CANDADO CROMADO";"";"Tel: (58) (212) 4811932";"San Juan - Caracas Caracas, Venezuela";"Cerrajerías"
"AUTOCERRAJERÍA PLAZA LAS AMÉRICAS";"";"Tel: (58) (212) 9859551";"El Cafetal Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA ALEMANA C.A";"";"Tel: (58) (212) 5730487";"Guaicaipuro Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA LA REPARADORA C.A";"";"Tel: (58) (212) 7307334";"Av J Bautista Arismendi Edif Parque Florida L-3 La Florida-Caracas Caracas, Venezuela";"Cerrajerías"
"FERRETERÍA Y CERRAJERÍA EL AUTO S.R.L";"";"Tel: (58) (212) 3610812";"Al Lado Del Restaurante El Batacazo Centro Guarenas, Venezuela";"Cerrajerías"
"CERRAJERIA LA LLAVE DORADA C.A.";"";"Tel: (58) (281) 2869655";"Av Principal Lecherías, Venezuela";"Cerrajerías"
"CERRAJERIA MERIDA";"";"Tel: (58) (241) 8597248";"Av Diaz Moreno Valencia, Venezuela";"Cerrajerías"
"REPRESENTACIONES Y SERVICIOS EDWUARD SALCEDO";"";"Tel: (58) (251) 2524297";"Cr.19, Entre Cl. 11 y 12 Barquisimeto, Venezuela";"Cerrajerías"
"CERRAJERÍA VIZCAYA C.A";"";"Tel: (58) (212) 9854554";"Vizcaya Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA RODRIGUEZ";"";"Tel: (58) (212) 9111826";"Catia La Mar, Maiquetia Caracas, Venezuela";"Cerrajerías"
"CERRAJERIA LA LLAVE";"";"Tel: (58) (294) 3314368";"Calle Ecuador 45 Carúpano, Venezuela";"Cerrajerías"
"CERRAJERÍA COLINAS DE CARRIZAL C.A";"";"Tel: (58) (212) 3211394";"Ct Panamericana Km 25 La Mata, Los Teques Los Teques, Venezuela";"Cerrajerías"
"CERRAJERIA GARCIA, C.A.";"";"Tel: (58) (245) 5642960";"Av. Bolivar Guacará, Venezuela";"Cerrajerías"
"DISTRIBUIDORA MARCOR C.A";"";"Tel: (58) (212) 4223355";"Ct El Junquito Km 12, Luis Hurtado , El Junquito Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA MUNDIAL S.R.L";"";"Tel: (58) (212) 7933734";"Los Caobos Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA LAS FLORES";"";"Tel: (58) (274) 3468243";"Av. Oriental Mérida, Venezuela";"Cerrajerías"
"CERRAJERÍA LA BOYERA C.A";"";"Tel: (58) (212) 9630256";"La Boyera Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA PORTUGUESA 2000 C.A";"";"Tel: (58) (212) 2441556";"Ct Petare Guarenas Km 13 Caucagüita, Filas De Mariche Filas de Mariche, Venezuela";"Cerrajerías"
"CERRAJERIA MULTILLAVES C.A.";"";"Tel: (58) (286) 9230017";"Av Ppal de Castillito, C.C. Castillito local 02 Ciudad Guayana Puerto Ordaz, Venezuela";"Cerrajerías"
"CERRAJERÍA EL PINCEL";"";"Tel: (58) (251) 2313667";"Carrera 22 Barquisimeto, Venezuela";"Cerrajerías"
"CERRAJERIA";"";"Tel: (58) (241) 8678074";"Barrio Union, Av Universidad Local 191-51 Valencia, Venezuela";"Cerrajerías"
"CERRAJERIA VALENCIA NORTE CA";"";"Tel: (58) (241) 8228466";"Urb. El Viñedo Valencia, Venezuela";"Cerrajerías"
"CERRAJERÍA SOS 24 HORAS";"";"Tel: (58) (212) 5647741";"La Candelaria Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA SERVICLASE S.R.L";"";"Tel: (58) (212) 6315489";"El Cementerio Caracas, Venezuela";"Cerrajerías"
"CERRAJERIA CAMPOS C.A.";"";"Tel: (58) (286) 9522614";"Unare I Ciudad Guayana Puerto Ordaz, Venezuela";"Cerrajerías"
"CERRAJERÍA SAN CAMILO";"";"Tel: (58) (212) 2344195";"Boleíta Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA PERFECT LOCK C.A";"";"Tel: (58) (212) 9435053";"Baruta Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA LAS MIL LLAVES";"";"Telefax: (58) (212) 7627139";"Sabana Grande Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA BOB DEL C.C.C.T";"";"Tel: (58) (212) 9592196";"Av La Estancia Chuao Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA BAYVIC S.R.L";"";"Tel: (58) (212) 5763317";"La Candelaria Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA GONZALO S.R.L";"";"Tel: (58) (212) 5516526";"Av Panteón San Bernardino Caracas, Venezuela";"Cerrajerías"
"BRICOLAJE BAZAR C.A";"";"Tel: (58) (212) 2637070";"Av Adrían Rodriguez, Chacao Caracas, Venezuela";"Cerrajerías"
"AUTO CERRAJERÍA LA CASA DE LA SEGURIDAD C.A";"";"Tel: (58) (212) 5457498";"L Flores Pte Hierro Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA SANTA JUANA";"";"Tel: (58) (274) 2632791";"Emergencias Mérida, Venezuela";"Cerrajerías"
"AUTO CERRAJERÍA JOTA JOTA 357 C.A";"";"Tel: (58) (212) 2397108";"Frente Al Cada, La California C.C Del Este L 1-E Av Fco De Miranda Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA LLAVEDIAL S.R.L";"";"Tel: (58) (212) 2832856";"Los Palos Grandes Caracas, Venezuela";"Cerrajerías"
"INVERSIONES LA LLAVE DE ORO";"";"Tel: (58) (275) 8813347";"Av. 9, La Inmaculada El Vigía, Venezuela";"Cerrajerías"
"AUTO CERRAJERÍA SURTI LLAVES";"";"Tel: (58) (212) 4613406";"El Paraíso Caracas, Venezuela";"Cerrajerías"
"OMAR RODRÍGUEZ CERRAJERÍA";"";"Tel: (58) (251) 8504087";"Cr1, Entre Calles 4 y 5 de Nueva Segovia Detrás de la Panadería Tulipán Barquisimeto, Venezuela";"Cerrajerías"
"CERRAJERÍA ORIMAR S.R.L";"";"Tel: (58) (212) 3327095";"Maiquetia Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA STABIA C.A";"";"Tel: (58) (212) 6613758";"Av L Ciencias, Los Chaguaramos Caracas, Venezuela";"Cerrajerías"
"INVERSIONES LA COMBINACIÓN 2005 C.A";"";"Tel: (58) (212) 8719597";"Av 3 Con Cl 2 Propatria Caracas, Venezuela";"Cerrajerías"
"AUTO CERRAJERÍA LA ROTARIA 321 C.A";"";"Tel: (58) (212) 4435664";"Av La Rotaria Caracas, Venezuela";"Cerrajerías"
"RAPID LLAVES CHACAITO";"";"Tel: (58) (212) 9528684";"Chacaito Caracas, Venezuela";"Cerrajerías"
"GRUPO TECNO-LLAVE LLAVES PACÍFICO C.A";"";"Tel: (58) (212) 7530742";"Av Miguel àngel c/c Cervantes Edif Oberón L-H Colinas De Bello Monte Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA LA LIMPIA C.A.";"";"Tel: (58) (261) 7781994";"Av. 64 e/Cls. 79 Y 79A Sector La Limpia Maracaibo, Venezuela";"Cerrajerías"
"MEDECO DEL ESTE C.A";"";"Tel: (58) (212) 2359252";"Montecristo Caracas, Venezuela";"Cerrajerías"
"CRISTALERIA Y MARQUETERÍA LA ROTURA C.A";"";"Tel: (58) (212) 6334081";"Av Presidente Medina, Las Acacias Caracas, Venezuela";"Cerrajerías"
"ATLÁNTICO CERRAJERÍAS DEL ZULIA";"";"Tel: (58) (261) 7975613";"Cl 78, Entre Avs. 10 Y 11, Dr. Portillo Maracaibo, Venezuela";"Cerrajerías"
"AUTO CERRAJERÍA GT C.A";"";"Tel: (58) (212) 9935663";"Las Mercedes Caracas, Venezuela";"Cerrajerías"
"BAZAR ELÉCTRICO SAGI C.A";"";"Tel: (58) (212) 2354949";"Los Ruices Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA MAXIMA";"";"Tel: (58) (212) 3216198";"El Cabotaje, Los Teques Los Teques, Venezuela";"Cerrajerías"
"CERRAJERÍA EL CAFETAL C.A";"";"Tel: (58) (212) 9853306";"C.C El Sol L-13 Santa Paula Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA LARA C.A";"";"Tel: (58) (212) 3735115";"San Antonio, San Antonio De Los Altos San Antonio De Los Altos, Venezuela";"Cerrajerías"
"CERRAJERÍA HALCÓN, C.A.";"";"Tel: (58) (295) 6116148";"Cl Fraternidad los Robles Porlamar, Venezuela";"Cerrajerías"
"CERRAJERIA BOLIVAR";"";"Tel: (58) (295) 2639454";"Av bolivar Sect Bella V Porlamar, Venezuela";"Cerrajerías"
"CERRAJERÍA ALEXANDER CHACÓN";"";"Tel: (58) (212) 3233937";"Cl La Francesa, El Vigía Los Teques Los Teques, Venezuela";"Cerrajerías"
"ALUMINIOS Y CRISTALERIA ANNA";"";"Tel: (58) (281) 2872206";"Av ppal Lecherías, Venezuela";"Cerrajerías"
"SERVICIOS FABIAN C.A.";"";"Tel: (58) (286) 9315123";"Av Antonio berrios El Roble Ciudad Guayana Puerto Ordaz, Venezuela";"Cerrajerías"
"LLAVES ATLANTICO";"";"Telefax: (58) (212) 8722859";"Av El Atlantico Entre Av Séptima Y Bolívar Edif El Condor. 2do Piso Ofic N? 6, Catla - Caracas Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA ARTE LLAVES C.A";"";"Tel: (58) (212) 4616626";"Av 1ra San Martín Caracas, Venezuela";"Cerrajerías"
"CERRAJERIA SERVILLAVES C.A.";"";"Tel: (58) (291) 3157951";"Av Juncal Maturin Maturín, Venezuela";"Cerrajerías"
"CERRAJERÍA LA AMERICANA UNICA C.A.";"";"Tel: (58) (255) 6235190";"Av. 32, Con Calle 23 Acarigua, Venezuela";"Cerrajerías"
"AUTO CERRAJERÍA IVÁN";"";"Tel: (58) (274) 2526766";"Av. 4 Mérida, Venezuela";"Cerrajerías"
"ZUELCA";"";"Tel: (58) (261) 7493439";"Av. Ff.Aa Cl 43, No. 15-120 Maracaibo, Venezuela";"Cerrajerías"
"CERRAJERÍA ALADÍN PATIO TRIGAL, C.A.";"";"Tel: (58) (241) 8425305";"Ppal, El Trigal Norte C.C. El Trigal Norte Valencia, Venezuela";"Cerrajerías"
"TALLER PARA LLAVES Y CERRADURAS, S.R.L.";"";"Tel: (58) (261) 7911670";"Cl 62a, No. 3f-85 Las Mercedes Maracaibo, Venezuela";"Cerrajerías"
"CERRAJERÍA ZAMORA C.A";"";"Tel: (58) (212) 6716855";"El Valle Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA ACOSTA";"";"Tel: (58) (212) 5423695";"Santa Rosalía Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA Y HERRERÍA HOSEMANCA";"";"Tel: (58) (212) 2851717";"Santa Eduvigis Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA LA LLAVE MAESTRA";"";"Tel: (58) (261) 3448798";"Cl 10, No. 13-08 Barrio Obrero Maracaibo, Venezuela";"Cerrajerías"
"AUTOCERRAJERÍA FULL KEY'S C.A";"";"Tel: (58) (212) 9614745";"El Hatillo Caracas, Venezuela";"Cerrajerías"
"PROMOAUTO C.A";"";"Tel: (58) (241) 8581414";"Av Bolívar Norte, Centro Comercial Torre Valencia Mezzanina Valencia, Venezuela";"Cerrajerías"
"CERRAJERIA COELLO";"";"Tel: (58) (235) 3417780";"Cl. Las Flores Valle de la Pascua, Venezuela";"Cerrajerías"
"CERRAJERIA EXPRESS C.A.";"";"Tel: (58) (295) 2633723";"Cl Cedeño Porlamar, Venezuela";"Cerrajerías"
"CERRAJERÍA EL CANDADO S.R.L";"";"Tel: (58) (212) 6324376";"El Cementerio Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA MARTEAU";"";"Tel: (58) (212) 9797256";"Av Río Caura, Prados Del Este Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA LOS VELOZ C.A";"";"Tel: (58) (212) 2654442";"Av Principal, Urb Bolívar Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA LOS PROCERES C.A";"";"Tel: (58) (212) 6937334";"Agustín Codasi Santa Mónica Caracas, Venezuela";"Cerrajerías"
"AUTOCERRAJERÍA LA COLMENA C.A";"";"Tel: (58) (212) 9781472";"Av. Anauco entre Panteon y Plaza Estrella Edf. Titania Local 5B Caracas, Venezuela";"Cerrajerías"
"SERVICIO TÉCNICO RODO C.A";"";"Tel: (58) (212) 2439121";"Av Ppal Terrazas Del Avila Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA LA LLAVE DEL PARAÍSO";"";"Tel: (58) (212) 2615007";"Cl La Joya Edif La Joya Piso 1 Apto 4, Chacao Caracas, Venezuela";"Cerrajerías"
"ABRETE SÉSAMO CERRAJERIA";"";"Tel: (58) (212) 9856103";"Los Naranjos Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA LOS APAMATES";"";"Tel: (58) (212) 7627840";"Cl Los Apamates, Sabana Grande Caracas, Venezuela";"Cerrajerías"
"LA CLÍNICA DEL CERRAJERO";"";"Tel: (58) (275) 4334118";"Av Bolívar San Carlos de Zulia, Venezuela";"Cerrajerías"
"LLAVES PARQUE CENTRAL C.A";"";"Tel: (58) (212) 5760301";"Av Lecuna Parque Central Caracas, Venezuela";"Cerrajerías"
"MASTER LLAVES CHACAITO";"";"Tel: (58) (212) 9528668";"Chacaito Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA, PUERTAS Y REJAS LA SEGURIDAD";"";"Tel: (58) (261) 3424567";"Cl 9 Con Cr12, Esquina San Carlos No. 8-96 Barrio Obrero Maracaibo, Venezuela";"Cerrajerías"
"BLUEXPRESS C.A";"";"Tel: (58) (212) 9794246";"Zona Ind La Naya Caracas, Venezuela";"Cerrajerías"
"CERRAJERIA ZUCOJAI";"";"Tel: (58) (243) 2456442";"Edif. La Maracayera, Pb., Loc. 5 Cl Santos Michelena Maracay, Venezuela";"Cerrajerías"
"CERRAJERÍA LA CLAVE S.R.L";"";"Tel: (58) (212) 2638811";"Cale Jesus Maria Patiño , Av 4 de MAyo y CA Hernandez Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA LOS CORTIJOS";"";"Tel: (58) (212) 2370173";"Los Ctjos De Lourdes Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA LA MATA C.A";"";"Tel: (58) (212) 3641638";"La Mata, Los Teques Los Teques, Venezuela";"Cerrajerías"
"CERRAJERÍA Y AUTOPERIQUITOS SAN FRANCISCO DE YARE";"";"Tel: (58) (239) 2229369";"Sn Francisco De Yare San Francisco de Yare , Venezuela";"Cerrajerías"
"CERRAJERÍA PÉREZ OPS";"";"Tel: (58) (212) 3721806";"Sn A De Los Altos San Antonio De Los Altos, Venezuela";"Cerrajerías"
"AUTO CERRAJERIA ARAGUA";"";"Tel: (58) (243) 2334126";"Av. 10 de Diciembre, No. 36 Maracay, Venezuela";"Cerrajerías"
"CERRAJERIA FONSECA";"";"Tel: (58) (239) 2257749";"El Calvario, Ocumare Del Tuy Ocumare del Tuy, Venezuela";"Cerrajerías"
"CERRAJERÍA KEY SHOP 1223 C.A";"";"Tel: (58) (212) 2640553";"2da Campo Alegre Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA LITORAL";"";"Tel: (58) (212) 3329504";"Maiquetia Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA EL MAGO S.R.L";"";"Tel: (58) (212) 5772196";"Esq. Horcones A Valdez San Agustín Del Nte Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA LOS TEQUES S.R.L";"";"Tel: (58) (212) 3215740";"Av Bolívar, Los Teques Los Teques, Venezuela";"Cerrajerías"
"AUTO CERRAJERÍA CAURIMARE";"";"Tel: (58) (212) 9874298";"Ppal Caurimare Caracas, Venezuela";"Cerrajerías"
"CERRAJERÍA DÍA Y NOCHE S.R.L";"";"Tel: (58) (212) 5671114";"Cl Páez Edif República Piso 3 Ofic 24 Chacao Caracas, Venezuela";"Cerrajerías"
"CHOCOLATES KRON C.A.";"";"Tel: (58) (212) 2565302";"Final Av. Tamanaco. Edf. Fabricio, El Llanito (Al Lado De Panderia Mansion El Llanito) Caracas, Venezuela";"Chocolate"
"CHOCOBRU";"";"Tel: (58) (212) 2347504";"Av. Capitolio Boleíta Sur, Edf. Indelca, Ph Caracas, Venezuela";"Chocolate"
"ST. MORITZ CHOCOLATIERS";"";"Tel: (58) (212) 2516834";"1ra Cl. La Industria, Edf. Alexandra, P.4, Lc. 2-B, Palo Verde, Caracas Caracas, Venezuela";"Chocolate"
"CHOCOLATE ASTRO, C.A.";"";"Tel: (58) (212) 6317427";"El Cementerio- Caracas Caracas, Venezuela";"Chocolate"
"LA PRALINE CHOCOLATIER";"";"Tel: (58) (212) 2847986";"Av. Andrés Bello, 3ra Trans. Edf. Las Flores, Lc. 1, P.B. Los Palos Grand es. Caracas, Venezuela";"Chocolate"
"ARME 2500, C.A.";"";"Tel: (58) (212) 2674116";"La Castellana - Caracas Caracas, Venezuela";"Chocolate"
"EL MUNDO DE LOS CHOCOLATES C,A";"";"Tel: (58) (295) 2617468";"Cl Igualdad Porlamar, Venezuela";"Chocolate"
"CHOCOLATES THEO BROMA, C.A.";"";"Tel: (58) (212) 2483865";"Charallave Caracas, Venezuela";"Chocolate"
"MOLINA Y CIA,C.A.";"";"Tel: (58) (212) 3380195";"Master Carrizal, Venezuela";"Chocolate"
"PROCESADORA MULTICAO, S.A.";"";"Tel: (58) (212) 2726095";"Av. Andres Bello, 3ra Transv. Edf. Las Flores, Lc.1, P.B. Los Palos Grand es Caracas, Venezuela";"Chocolate"
"LA MARCONA";"";"Tel: (58) (212) 3830195";"Cr. Panamericana, Carrizal Caracas, Venezuela";"Chocolate"
"DISTRIBUIDORA CARLIETTE";"";"Tel: (58) (241) 8243620";"C.C. Las Acacias, Local 4 y 11 Av. Bolivar, Urb. Las Acacias Valencia, Venezuela";"Cinturones"
"LA CORONA S.R.L";"";"Tel: (58) (212) 8600252";"San José Caracas, Venezuela";"Cinturones"
"CORPORACIÓN RAM 77 C.A";"";"Tel: (58) (212) 7619791";"Los Caobos Caracas, Venezuela";"Cinturones"
"DISTRIBUIDORA LAS MIL Y UNA CORREA C.A";"";"Tel: (58) (212) 5513113";"Caracas Caracas, Venezuela";"Cinturones"
"RUBIO R, JESÚS R";"";"Tel: (58) (212) 5764945";"Guaicaipuro Caracas, Venezuela";"Cinturones"
"CINTURONES TAMANACO C.A";"";"Tel: (58) (243) 2616603";"Zona Ind Santa Cruz, Santa Cruz De Aragua Santa Cruz de Aragua, Venezuela";"Cinturones"
"FABRICACIONES GARATE";"";"Tel: (58) (212) 5642634";"Altagracia, Caracas Caracas, Venezuela";"Cinturones"
"MULTI HEBILLAS";"";"Tel: (58) (212) 5714793";"Sarría Caracas, Venezuela";"Cinturones"
"DAX-SIL";"";"Tel: (58) (212) 6323031";"Prado De María Caracas, Venezuela";"Cinturones"
"UNIDAD MEDICO QUIRURGICO AVE MARÍA, C.A.";"";"Tel: (58) (286) 9524044";"Pto, Ordaz, Unare Ciudad Guayana San Félix, Venezuela";"Clínicas Y Hospitales"
"CLINICA DE ASMA Y ALERGIAS";"";"Tel: (58) (261) 7428555";"Avenida 15, Las Delicias Maracaibo, Venezuela";"Clínicas Y Hospitales"
"CENTRO DE CIRUGÍA SAN SEBASTIAN, C.A.";"";"Tel: (58) (261) 3422266";"Av. Ppal. Pueblo Nuevo, Las Pila, No. 18-288, San Cristobal-Táchira Maracaibo, Venezuela";"Clínicas Y Hospitales"
"MEDIPLUS";"";"Tel: (58) (261) 7555035";"Urb. Los Olivos, Calle 79, Nro. 62A-54, Frente al C.C. Galerias Mall, Cent ro Clinico Los Olivos, Primer Piso, Mcbo-Edo. Zulia Maracaibo, Venezuela";"Clínicas Y Hospitales"
"INSTITUTO CLINICO UNARE, C.A.";"";"Tel: (58) (286) 9514453";"Av. 3 UNARE II Ciudad Guayana San Félix, Venezuela";"Clínicas Y Hospitales"
"CLINICA MÉRIDA";"";"Tel: (58) (261) 2636395";"Av. Urdanera, N³ 45-145, Mérida, Edo. Mérida Maracaibo, Venezuela";"Clínicas Y Hospitales"
"CENTRO MEDICO DE OJOS";"";"Tel: (58) (261) 7974548";"Av. (Santa Rita), Esquina Con Calle 83, Maracaibo - Edo. Zulia Maracaibo, Venezuela";"Clínicas Y Hospitales"
"GRUPO MEDICO LA TRINIDAD";"";"Tel: (58) (281) 2686831";"Campo Gulf Puerto de  la Cruz, Venezuela";"Clínicas Y Hospitales"
"CENTRO CLINICO FAMILIA, C.A.";"";"Tel: (58) (286) 9230163";"Vía Venezuela Ciudad Guayana San Félix, Venezuela";"Clínicas Y Hospitales"
"CLINICA DE MAMAS";"";"Tel: (58) (276) 3461248";"Av. 19 De Abril San Cristóbal, Venezuela";"Clínicas Y Hospitales"
"AMBULANCIAS SAN JUAN";"";"Tel: (58) (251) 4467850";"Carrera16, E7Cls 37 y 38 Barquisimeto, Venezuela";"Clínicas Y Hospitales"
"POLICLINICA SANTA ANA, C.A.";"";"Tel: (58) (285) 6001301";"Av. 17 de Diciembre Ciudad Bolivar, Venezuela";"Clínicas Y Hospitales"
"CENTRO CLINICO MORROCOY";"";"Telefax: (58) (251) 8120517";"Calle Bermúdez, N³ 42 Tucacas, Edo. Falcón Barquisimeto, Venezuela";"Clínicas Y Hospitales"
"CLINICA EL MORRO, C.A.";"";"Tel: (58) (281) 2818062";"Av. Principal Lecherías, Venezuela";"Clínicas Y Hospitales"
"CLÍNICA VIRGEN DE GUADALUPE, C.A.";"";"Tel: (58) (212) 2526422";"Frente Al Terminal Av. Piso Salavarria Caracas, Venezuela";"Clínicas Y Hospitales"
"CLINICA SAN PEDRO, S.A.";"";"Tel: (58) (285) 6327291";"Av. Mario Briceño Iragorri - Heres Ciudad Bolivar, Venezuela";"Clínicas Y Hospitales"
"UNIDAD DE ECOGRAFÍA Y CIRUGÍA DE LEONES";"";"Tel: (58) (212) 2551319";"Av. Los Leones Caracas, Venezuela";"Clínicas Y Hospitales"
"URGENCIAS MEDICAS C.A.";"";"Tel: (58) (261) 7590123";"Av. 16 Con Calle 72, No. 72-13 Maracaibo, Venezuela";"Clínicas Y Hospitales"
"ASISTENCIA MÉDICA SALUD INTEGRAL";"";"Tel: (58) (261) 7434559";"Maracaibo Maracaibo, Venezuela";"Clínicas Y Hospitales"
"CENTRO CLÍNICO MEDISUR Y CLÍNICA IZOT";"";"Tel: (58) (261) 7601739";"Maracaibo Maracaibo, Venezuela";"Clínicas Y Hospitales"
"CLÍNICA ADVENTISTA";"";"Tel: (58) (212) 4457749";"A 100 Mts. Del Parque Ayacucho Cr. 17 Caracas, Venezuela";"Clínicas Y Hospitales"
"CENTRO MÉDICO SAN ROMAN";"";"Tel: (58) (276) 3560826";"Cl. 14, Barrio Obrero San Cristóbal, Venezuela";"Clínicas Y Hospitales"
"INSTITUTO DE CIRUGIA AMBULATORIA, S.R.L.";"";"Telefax: (58) (261) 3579468";"Carrera 24 Con Calle 12, N³ 12-8 Barrio Obrero, San Cristóbal, Edo. Tách ira Maracaibo, Venezuela";"Clínicas Y Hospitales"
"CLÍNICA LA FAMILIA, C.A.";"";"Tel: (58) (269) 2472198";"Cl. Prolong Girardot Santa Irene Punto Fijo, Venezuela";"Clínicas Y Hospitales"
"CLÍNICA DR. JOSÉ MARIA VARGAS";"";"Tel: (58) (212) 6210397";"Av. 28, El Pilar Caracas, Venezuela";"Clínicas Y Hospitales"
"CLINICA ACOSTA ORTIZ";"";"Tel: (58) (251) 7108806";"Carr. 19 Entre Calles 30 y 31 Barquisimeto, Venezuela";"Clínicas Y Hospitales"
"CLINICA SINAI";"";"Telefax: (58) (274) 2621362";"Av. Los Proceres, Sector Lumonty Calle El Higueron Mérida, Venezuela";"Clínicas Y Hospitales"
"CENTRO MÉDICO ÀVILA, C.A.";"";"Tel: (58) (212) 2316130";"Con Carrera 17 Calle 19 Caracas, Venezuela";"Clínicas Y Hospitales"
"CENTRO MEDICO SANTA BARBARA C.A.";"";"Tel: (58) (261) 7357392";"Corredor Vial Monseñor Roa Peréz Sur América N³ 54-19, Zona ind. Sur Maracaibo, Venezuela";"Clínicas Y Hospitales"
"CENTRO MÉDICO INTEGRAL HOVINAT, C.A.";"";"Tel: (58) (212) 5335240";"Cl. Palermo Caracas, Venezuela";"Clínicas Y Hospitales"
"CLIMNCA, C.A.";"";"Telefax: (58) (212) 4330773";"Cl Alegría Caracas, Venezuela";"Clínicas Y Hospitales"
