"AUTO TALLER GRAN SASSO, S.R.L";"";"Telefax: (58) (241) 8313190";"La Candelaria Valencia, Venezuela";"Abogados - Asuntos Inmobiliarios"
"TÉCNICA TANA C.A";"";"Tel: (58) (212) 7511381";"Caracas Caracas, Venezuela";"Detectores Y Medidores"
"INGENIERIA DEL FUEGO IF C.A";"";"Tel: (58) (212) 5737479";"Av. LEcuna Parque Central Caracas, Venezuela";"Detectores Y Medidores"
"EQUIPOS DE AUTOMATIZACIÓN S.A";"";"Tel: (58) (212) 6615090";"Cl. La Facultad, Edif. Valenciana, Piso 1, Los Chaguaramos Caracas, Venezuela";"Detectores Y Medidores"
"GRUPO TICKET SHOW C.A.";"";"Tel: (58) (212) 6939355";"Caracas Caracas, Venezuela";"Detectores Y Medidores"
"TECNO FUEGO";"";"Tel: (58) (261) 7978434";"Maracaibo Maracaibo, Venezuela";"Detectores Y Medidores"
"TECNOTRACK VAPOR INDUSTRIAL C.A.";"";"Tel: (58) (212) 2854036";"Av. Fco De Miranda, Los Palos Grandes Caracas, Venezuela";"Detectores Y Medidores"
"DTXS VENEZUELA C.A.";"";"Tel: (58) (212) 4510756";"Urb. San Martín, Cl. Andalucia, Edf. Andalucia P. 4 Of. 41 Caracas, Venezuela";"Detectores Y Medidores"
"CONFIDENCE,C.A.";"";"Tel: (58) (243) 5711640";"Guacara los Guayos Maracay, Venezuela";"Detectores Y Medidores"
"GRUPO SERSECO";"";"Tel: (58) (212) 6624951";"caracas Caracas, Venezuela";"Detectores Y Medidores"
"SEMANSEG, C.A.";"";"Tel: (58) (244) 3957869";"Cl Capanaparo, Corinsa, Cagua Cagua, Venezuela";"Detectores Y Medidores"
"SOVICA ELECTRONICS S.A";"";"Tel: (58) (212) 2411510";"Cl 11, Entre Calles 4 Y 5 Edificio Sovica, La Urbina, Caracas Caracas, Venezuela";"Detectores Y Medidores"
"LA PRICIPAL, S.R.L.";"";"Tel: (58) (251) 5224139";"calle 41 E/Crs. 21 y 22 Barquisimeto, Venezuela";"Detectores Y Medidores"
"EXTINTORES 2005 CENTRO, C.A.";"";"Tel: (58) (244) 3954463";"Cl Sucre Centro, Cagua Cagua, Venezuela";"Detectores Y Medidores"
"PREVINCAR C.A.";"";"Tel: (58) (241) 8710040";"Urb Lomas De La Esmeralda, Av Aranzazu Entre Calle López Y Bermúdez Coussin Nú 88-27, Valencia Valencia, Venezuela";"Detectores Y Medidores"
"EXTIN PROBA, C.A";"";"Tel: (58) (261) 5523728";"Cl El Sol Av Montilla Y Olmedilla No 12-20 Maracaibo, Venezuela";"Detectores Y Medidores"
"EXTINTORES VICTORS ,S.A";"";"Tel: (58) (261) 7358240";"Los Estanques Maracaibo, Venezuela";"Detectores Y Medidores"
"EXTINTORES EMMANUEL, .CA";"";"Tel: (58) (261) 7654587";"Av 17 Los Haticos Maracaibo, Venezuela";"Detectores Y Medidores"
"TÉCNICA FASE, S.A.";"";"Tel: (58) (212) 2395629";"Av. Francisco De Miranda, Boleíta Caracas, Venezuela";"Detectores Y Medidores"
"INMADICA";"";"Tel: (58) (291) 6428986";"Maturin Maturín, Venezuela";"Detectores Y Medidores"
"SISTEMAS PROTYS C.A";"";"Tel: (58) (212) 4618020";"San Martin Caracas, Venezuela";"Detectores Y Medidores"
"PROSERCA SERVICIOS PROFESIONALES C.A";"";"Tel: (58) (212) 6902273";"Av. Cristobal Rojas Qta Alicia No 23 Santa Monica Caracas, Venezuela";"Detectores Y Medidores"
"AUTO FRENOS SAN RAFAEL, S.R.L.";"";"Tel: (58) (243) 2710373";"Santa Rita - Maracay Maracay, Venezuela";"Discos Para Frenos"
"ANDI FRENOS CAGUA";"";"Tel: (58) (244) 4174322";"Calle 5 De Julio Cagua, Venezuela";"Discos Para Frenos"
"MAFREPACA, C.A.";"";"Tel: (58) (243) 2466251";"Calle Libertad Sur, Nro. 102 Entre Calle San Miguel Y Cooperativa Sector Santa Rosa. Maracay, Venezuela";"Discos Para Frenos"
"HIERROCOR C.A";"";"Tel: (58) (241) 8346939";"Zona Ind Municipal Norte Valencia, Venezuela";"Doblado Y Corte De Láminas Metálicas"
"DROGUERIA SANTA MARIA";"";"Tel: (58) (276) 3561449";"Carrera 21, Barrio Obrero, Torre Médica Pirineos, Local PB-1 San Cristóbal, Venezuela";"Droguerías"
"DROGUESUR DROGUERIA MEDICA DEL SUR";"";"Tel: (58) (276) 7355755";"Av. 10 Esq. Calle 20, N³ 20-21, Loc 2. Sierra Maestra San Cristóbal, Venezuela";"Droguerías"
"DROGERIA DISRACA, C.A.";"";"Telefax: (58) (212) 4517321";"Av. Jose Antonio Páez, ElParaíso Caracas, Venezuela";"Droguerías"
"DUBAR, C.A.";"";"Tel: (58) (291) 6412277";"Maturin Maturín, Venezuela";"Droguerías"
"DROGUERÍA FARMA - MISTICA, C.A.";"";"Tel: (58) (243) 2422012";"Av. Principal, La Arboleda Maracay, Venezuela";"Droguerías"
"SUFARCA DROGUERIA";"";"Tel: (58) (261) 7525590";"Indio Mara Maracaibo, Venezuela";"Droguerías"
"DROBIOCA";"";"Tel: (58) (276) 3436409";"Cl. 16, La Romera San Cristóbal, Venezuela";"Droguerías"
"DISTRIBUIDORA FARMACEUTICA LA CRUZ";"";"Tel: (58) (291) 6520922";"Av. Bella Vista, Conjunto Ind. La Cruz Galpón No. 6 Maturín, Venezuela";"Droguerías"
"DROGERÍA MORET 2001, C.A.";"";"Tel: (58) (212) 3236355";"Cl. Sucre, Los Teques Los Teques, Venezuela";"Droguerías"
"DROGUERIA GENERICA, C.A.";"";"Tel: (58) (285) 6322910";"Av. Siegert, Edif. Centro Médico Orinoco Local 1 Ciudad Bolivar, Venezuela";"Droguerías"
"HOSPITAL EL ROSARIO MEDICINA HUMANA";"";"Tel: (58) (265) 6301000";"Carretera O, Entre Avenidas 34 y 41 Ciudad Ojeda, Venezuela";"Droguerías"
"DRODINICA DROGUERIA DIVINO NIÑO C.A.";"";"Telefax: (58) (276) 3567133";"Calle 12, Entre Carreras 22 y 23, Barrio Obrero, N³ 22-58, San Cristóbal - Edo. Táchira San Cristóbal, Venezuela";"Droguerías"
"DROMINCA";"";"Tel: (58) (212) 6629420";"Av. Neverí, C.C. Los Chaguaramos, Torre De Ofic. Piso 16, Ofic. 16-10-B Caracas, Venezuela";"Droguerías"
"DROGUERIA SOLUMEDIC C.A.";"";"Tel: (58) (276) 7112928";"Barrio Obrero, Carrera 20 entre Calles 10 y 11 pasaje Acueducto, Edificio La India, San Cristobal, Estado Tachira San Cristóbal, Venezuela";"Droguerías"
"DROGUERÍA CIARLEN, C.A.";"";"Tel: (58) (212) 6938434";"Santa Mónica Caracas, Venezuela";"Droguerías"
"FARMACIA LIBERTAD, C.A.";"";"Tel: (58) (295) 2637755";"Dentro de la Clinica Libertad CI Libertad Porlamar, Venezuela";"Droguerías"
"DROGUERIA NANO, C.A.";"";"Tel: (58) (276) 3465710";"Av. Lucio Oquendo San Cristóbal, Venezuela";"Droguerías"
"DROGUERÍA SUIZA, C.A.";"";"Tel: (58) (241) 8585427";"CI. Marique, La Candelaria Valencia, Venezuela";"Droguerías"
"DROSANCA DROGUERIA SAN CRISTÓBAL C.A.";"";"Tel: (58) (276) 3478155";"Av. Lucio Oquendo, Edif. Europa, Loc. B San Cristóbal, Venezuela";"Droguerías"
"DROGUERÍA SAN JORGE, C.A.";"";"Tel: (58) (243) 2423794";"CI. Puente Nuevo, El Castaño Maracay, Venezuela";"Droguerías"
"DIGECA";"";"Tel: (58) (273) 7981665";"Av. 13a Con Calle 67 Edf. LaOrquidea, Pb, Loc 1 Central Telefonica Barinas, Venezuela";"Droguerías"
"ABH FUMIGACIONES";"";"Tel: (58) (212) 6622222";"Los Chaguaramos - Caracas Caracas, Venezuela";"Ductos Para Basura"
"TALLERES VICTORIA, C.A.";"";"Telefax: (58) (212) 6314086";"Av. La Floresta, El Cementerio Caracas, Venezuela";"Ductos Para Basura"
"HOLIDAY TINTORERÍA ECOLOGÍA, C.A";"";"Tel: (58) (251) 2549177";"Av. Leones, Río Lama Cabudare, Venezuela";"Ecología"
"MANAPLAS S.A.";"";"Tel: (58) (212) 4332511";"Ctro.Ind. las Adjuntas, Entrada Carr. Vieja de Los Teques, Master aas Caracas, Venezuela";"Embalajes Plásticos"
"Distrilijas y Parafinados";"distriparafinados@gmail.com";"Cel.: (58) 3117621344";"Atiende en Villa Del Rosario desde su sede principal en Medellín Villa del Rosario, Venezuela";"Empaques Diversos"
"ISA GROUP C.A.";"";"Tel: (58) (212) 2352613";"Av Romulo Gallegos, Boleita Caracas, Venezuela";"Empaques Diversos"
"EL PALACIO DEL REFREGADERO";"";"Tel: (58) (241) 8248376";"Av. Andres E.Blanco Valencia, Venezuela";"Empaques Diversos"
"IMAQSU, C.A.";"";"Tel: (58) (212) 9791464";"Av. Rio Paragua, Prados Del Este Caracas, Venezuela";"Empaques Diversos"
"MANAPLAS S.A.";"";"Tel: (58) (212) 4332511";"Ctro.Ind. las Adjuntas, Entrada Carr. Vieja de Los Teques, Master aas Caracas, Venezuela";"Empaques Diversos"
"SUMINISTROS 3A C.A";"";"Tel: (58) (212) 2381706";"Av. Francisco De Miranda Edf. Guarimba Pb Local 2 Los Dos Caminos Caracas, Venezuela";"Empaques Diversos"
"DISTRIBUCIONES ORIOL C.A.";"";"Tel: (58) (212) 6334008";"Cl El PRogreso Edif Oriol P.B. Urb Las Acacias Caracas, Venezuela";"Empaques Diversos"
"ENVOPACK C.A.";"";"Tel: (58) (212) 2391620";"Edif MEga IV P 5 5-A Av El Centro, Los Dos Caminos Caracas, Venezuela";"Empaques Diversos"
"PLANTAS ANDERSON C.A.";"";"Tel: (58) (212) 2636912";"1era Tv, Altamira Sur Caracas, Venezuela";"Empaques Diversos"
"S. MIBELLI SUMINISTROS C.A.";"";"Tel: (58) (212) 9753835";"Av Rio Caura, Prados Del Este Caracas, Venezuela";"Empaques Diversos"
"PROINMOL, C.A.";"";"Tel: (58) (212) 3751453";"San José de los Altos, Sector Cerro Alto Edf. Multigomas, Planta Baja Loc al No. 2 Caracas, Venezuela";"Empaques Diversos"
"MAQUINARIAS ITALPACK, C.A.";"";"Tel: (58) (212) 3830015";"Ct. Vía Carrizal Carrizal, Venezuela";"Empaques Diversos"
"TECNO EMBALAJE C.A..";"";"Tel: (58) (212) 9514910";"Av. Venezuela Bello Monte Caracas, Venezuela";"Empaques Diversos"
"A.R. ARCHIVOS RODANTES DE VENEZUELA, C.A.";"";"Tel: (58) (212) 2572859";"Av. Urimare 2, Macaracuay Caracas, Venezuela";"Empaques Diversos"
"SERVIEMPAQUES BAG & PACK";"";"Tel: (58) (212) 7514384";"Av. Caurimare, Cnas De Bello Monte, Caracas Caracas, Venezuela";"Empaques Diversos"
"PESAMATIC, C.A.";"";"Tel: (58) (251) 2631823";"Barquisimetro Barquisimeto, Venezuela";"Empaques Diversos"
"GRAPAS VENEZOLANAS C.A";"";"Tel: (58) (212) 2344140";"Caracas Caracas, Venezuela";"Empaques Diversos"
"MAN FERROSTAL DE VENEZUELA S.A.";"";"Tel: (58) (212) 9797011";"Edif La Piramide, Prados Del Este Caracas, Venezuela";"Empaques Diversos"
"SIRECA C.A.";"";"Tel: (58) (212) 4720965";"CC Centro Vista L/A-13 Caracas, Venezuela";"Empaques Diversos"
"ARGOTEC C.A";"";"Tel: (58) (212) 2371268";"Los Dos Caminos Caracas, Venezuela";"Empaques Diversos"
"RIESE INDUSTRIAL C.A.";"";"Tel: (58) (212) 7939720";"Torre Domus Caracas, Venezuela";"Empaques Diversos"
"POLY BAG DE VENEZUELA C.A.";"";"Tel: (58) (243) 2695275";"Av. Intercomunal Turmero - Maracay, Sercor La Providencia, Parcela 31, Ga lpón 11 (1ra. Cl. Después Del Centro Hispano), Maracay - Edo. Aragua Maracay, Venezuela";"Empaques Diversos"
"LAUKO C.A";"";"Tel: (58) (212) 2564066";"Cl. Av. Terepaima, El Llanito Caracas, Venezuela";"Empaques Diversos"
"MOLDEOS INDUSTRIALES STYROPACK C.A.";"";"Tel: (58) (212) 9453732";"Final Cl Bolívar Cruce Con Cl Rondón, Baruta Caracas, Venezuela";"Empaques Diversos"
"MINIBAG C.A.";"";"Tel: (58) (212) 3833011";"Ct. Panamericana Km 21, Corralito Caracas, Venezuela";"Empaques Diversos"
"C.A. ARMCO VENEZOLANA";"";"Tel: (58) (212) 9935315";"Las Mercedes Caracas, Venezuela";"Empaques Diversos"
"CEA REPRESENTACIONES C.A.";"";"Tel: (58) (212) 2378650";"Av Romulo Gallegos, Boleita Caracas, Venezuela";"Empaques Diversos"
"EQUIXPRESS, C.A.";"";"Tel: (58) (212) 5776611";"Av Urdaneta, La Candelaria Caracas, Venezuela";"Empaques Diversos"
"FULLPACK C.A.";"";"Tel: (58) (212) 6611708";"Av Roosevelt, Los Rosales Caracas, Venezuela";"Empaques Diversos"
"INTORBE INTERCAMBIOS ORBE C.A.";"";"Tel: (58) (212) 4729406";"Cl 1, Colinas Vista Alegre Caracas, Venezuela";"Empaques Diversos"
"EMBALAJES INDUSTRIALES C.A.";"";"Telefax: (58) (251) 2692395";"Zona Ind. III, Av. Carlos Giffoni Con Av. Cementerio, C.C. Gil Rob, PB, L Nú 2, Barquisimeto Barquisimeto, Venezuela";"Empaques Diversos"
"DISTRIBUIDORA TREHER C.A.";"";"Tel: (58) (212) 3421679";"Guatire Guatire, Venezuela";"Empaques Diversos"
"FACTORY MACHINE TEC C.A.";"";"Tel: (58) (212) 2511210";"Av Ppal L industria, Palo Verde Caracas, Venezuela";"Empaques Diversos"
"FULL PACK CORP C.A.";"";"Tel: (58) (212) 9520861";"Av Tamanaco, Quinta FullPack Urbanización El Rosal, Caracas Caracas, Venezuela";"Empaques Diversos"
"FABRICA COVESMAT C.A.";"";"Tel: (58) (212) 3810454";"Zona Ind El Ingenio Guatire, Venezuela";"Encerados"
"LIDELCO C.A.";"";"Tel: (58) (212) 9457213";"Los Guayabitos, Baruta Caracas, Venezuela";"Encerados"
"ENCERADOS FACAMAR S.R.L.";"";"Tel: (58) (212) 7510008";"Colinas De Bello Monte Caracas, Venezuela";"Encerados"
"REVESTIMIENTOS DECORATIVOS MARLUC S.A.";"";"Tel: (58) (212) 2375333";"Av Ppal, Los Ruices Caracas, Venezuela";"Encerados"
"TÉCNICA FASE, S.A.";"";"Tel: (58) (212) 2395629";"Av. Francisco De Miranda, Boleíta Caracas, Venezuela";"Energía Solar"
"GRUPO CONSULTOR PENDARE C.A.";"";"Tel: (58) (212) 6133371";"Av Paez Catia La Mar Caracas, Venezuela";"Energía Solar"
"INGESOL C.A.";"";"Tel: (58) (212) 7629926";"2da Av L Delicias, Sabana Grande Caracas, Venezuela";"Energía Solar"
"OCTONSOLAR IMPORTADORA";"";"Tel: (58) (212) 7540022";"Sabana Grande Caracas, Venezuela";"Energía Solar"
"TOROTRAC";"";"Tel: (58) (212) 9515945";"Cl. Venezuela, Bello Monte Caracas, Venezuela";"Energía Solar"
"TORREOFACTORA Y ENVASADORA BOCONO";"";"Tel: (58) (272) 6523121";"Valle Verde Boconó, Venezuela";"Engrasadoras"
"COSME-PLAST, C.A.";"";"Telefax: (58) (212) 2310290";"Av. L. Raiza Tomuso Caracas, Venezuela";"Envases Para Cosméticos"
"DISTROFAR C.A.";"";"Tel: (58) (212) 2560781";"Cl. Terepaima, Edif. lela Urb. El Llanito, Caracas Caracas, Venezuela";"Envases Para Cosméticos"
"PLASTICOS COSMOS S.A.";"";"Tel: (58) (212) 2481730";"Zona Industrial Alvarenga Cl. A, Zona Ind. Alvarenga Caracas, Venezuela";"Envases Para Cosméticos"
"PLASTIC-ENVASES C.A.";"";"Tel: (58) (212) 3443505";"Zona Ind El Marqués Guatire, Venezuela";"Envases Para Cosméticos"
"INVERSIONES SELVA, C.A.";"";"Tel: (58) (212) 3001016";"Av Fco. De Miranda, Urb. Campo Alegre Edif Seguros Venezuela, Piso 10 Caracas, Venezuela";"Envases Para Cosméticos"
"IMPORTADORA MEDICA DAYANA, C.A.";"";"Tel: (58) (276) 7712608";"Calle 3,Nú 8-69 San Antonio del Táchira, Venezuela";"Equipos Medicos Quirurgicos"
"INTRAMEDICA C.A.";"";"Tel: (58) (276) 3467656";"Av. Lucio Oquendo. Torre Europa - Local 01 - Planta Baja San Cristobal - Estado de Tachira San Cristóbal, Venezuela";"Equipos Medicos Quirurgicos"
"CORPORACION MEDICA LOS LLANOS C.A.";"";"Telefax: (58) (273) 5336173";"AV 23 DE ENERO C.C FORUM LOCAL 64 Barinas, Venezuela";"Equipos Medicos Quirurgicos"
"MEDIQUIR, C.A.";"";"Tel: (58) (276) 8083555";"Calle Venezuela entre Av. bolivar y Alonso Ciudad ojeda San Cristóbal, Venezuela";"Equipos Medicos Quirurgicos"
"SUPLIMEDICA SUPLIDORA MEDICA C.A.";"";"Tel: (58) (261) 7979091";"Calle 70, Nú 12-39 Entre Avs. 12 y 13 Maracaibo Venezuela Maracaibo, Venezuela";"Equipos Medicos Quirurgicos"
"CENTRO HOTELERO LA K-ZUELA, C.A.";"";"Tel: (58) (212) 3837583";"Ct. Panamericana, Km. 21 Ctro. Com. Los Pinos, Local No. 3 Carrizal, Venezuela";"Equipos Para Cocina"
"STEEL PRODUCCIONES C.A";"";"Tel: (58) (212) 3738137";"Cl Miranda, Edif Indutrail Del Mueble P.B L-A Sector Ind Las Minas, San Antonio De Los Altos San Antonio De Los Altos, Venezuela";"Equipos Para Cocina"
"TM & D CORPORATION C.A";"";"Tel: (58) (212) 3232045";"Caracas Caracas, Venezuela";"Equipos Para Cocina"
"PRODUCTOS ROTY C.A";"";"Tel: (58) (212) 9632941";"El Hatillo Caracas, Venezuela";"Equipos Para Cocina"
"MARKET HOUSE C.A";"";"Tel: (58) (212) 2855550";"Los Palos Grandes Caracas, Venezuela";"Equipos Para Cocina"
"UTENSILIO LA 22 C.A";"";"Tel: (58) (251) 2326404";"Cr 22 Entre Cls 34 Y 35 , Barquisimeto Barquisimeto, Venezuela";"Equipos Para Cocina"
"ORGANIZACIÓN ZIADE C.A";"";"Tel: (58) (212) 5410429";"Esq. Traposos, Catedral Caracas, Venezuela";"Equipos Para Cocina"
"INDUSTRIAS INREVI C.A";"";"Tel: (58) (212) 8631570";"Av Sucre, Catia Caracas, Venezuela";"Equipos Para Cocina"
"INDUSTRIAS BARSA";"";"Tel: (58) (212) 8600351";"Altavista Caracas, Venezuela";"Equipos Para Cocina"
"GRAND CHEF";"";"Tel: (58) (212) 2639344";"C.C. San Ignacio, La Castellana Caracas, Venezuela";"Equipos Para Cocina"
"DURA WERE";"";"Tel: (58) (212) 5455397";"Santa Teresa Caracas, Venezuela";"Equipos Para Cocina"
"COCINAS D' ALAMENARA";"";"Tel: (58) (212) 8707318";"Catia Caracas, Venezuela";"Equipos Para Cocina"
"INDSUTRIAS INOXTANQ C.A";"";"Tel: (58) (212) 3227461";"Cl Paseo El Vaquiro Zona Industrial Club Hípico, Los Teques Los Teques, Venezuela";"Equipos Para Cocina"
"AHIMARA S.R.L";"";"Tel: (58) (212) 2482771";"Sucua, Charallave Caracas, Venezuela";"Equipos Para Cocina"
"FANAINOX C.A";"";"Tel: (58) (212) 9763456";"Cl Girasol Edif D-70 Prados Del Este, Caracas Caracas, Venezuela";"Equipos Para Cocina"
"REFRIGERACIÓN JIMENEZ";"";"Tel: (58) (212) 6326655";"Cl. Progreso Las Acacias Caracas, Venezuela";"Equipos Para Cocina"
"INVERSIONES COCINA Y MESA";"";"Tel: (58) (212) 9763438";"Prados Del Este Caracas, Venezuela";"Equipos Para Cocina"
"UNIDAD METALURGICA PRISMA C.A";"";"Tel: (58) (212) 4819152";"Galpón 3, Caño Amarillo Caracas, Venezuela";"Equipos Para Cocina"
"REVA INTERNACIONAL C.A";"";"Tel: (58) (212) 2856237";"Los Palos Grandes Caracas, Venezuela";"Equipos Para Cocina"
"KITCHEN UTILITES C.A";"";"Tel: (58) (212) 9931540";"Las Mercedes Caracas, Venezuela";"Equipos Para Cocina"
"TU CONTEMPO S.A";"";"Tel: (58) (212) 7150925";"Urb El Marqués Edif Adimarca Piso 3 Ofic 33 Caracas, Venezuela";"Equipos Para Cocina"
"INVERSIONES BAL SAM, C.A.";"";"Tel: (58) (212) 3733660";"Ct. Panamericana Km. 13 Edif. Rocoso Local Pb 1 San Antonio Caracas, Venezuela";"Equipos Para Cocina"
"SIPECA-SERVCICIOS INTEGRALES PARA ESTACIONAMIENTOS C.A.";"";"Tel: (58) (212) 2645834";"CC Mata de Coco Ph-0 Av Blandin, La Castellana Caracas, Venezuela";"Equipos Para Estaciones De Servicio"
"LOS HONORIOS, C.A.";"";"Tel: (58) (251) 2615895";"Calle 9, entre avenida 4 y 5 Cabudare, Venezuela";"Equipos Para Perforación"
"OFICINA GESTORA MAR";"";"Tel: (58) (242) 3721219";"Centro Morón, Venezuela";"Escuelas De Automovilismo"
"AUTO ESCUELA LA BARRACA";"";"Tel: (58) (243) 2362243";"Av Fuerzas Aéreas Maracay, Venezuela";"Escuelas De Automovilismo"
"GESTORA "LA NEGRA"";"";"Tel: (58) (241) 8580660";"Casa 106-62, San José Valencia, Venezuela";"Escuelas De Automovilismo"
"OFICINA GESTORÍA AUTOESCUELA PADRÓN, S.R.L.";"";"Tel: (58) (212) 8701633";"Av Boulevard España, Catia - Caracas Caracas, Venezuela";"Escuelas De Automovilismo"
"AUTO ESCUELA RAM-MAR";"";"Tel: (58) (243) 2320277";"Av Ppal, San Agustín Maracay, Venezuela";"Escuelas De Automovilismo"
"AUTOESCUELA Y GESTORÍA LA RESPONSABLE, S.R.L.";"";"Tel: (58) (212) 8606111";"Frente Al Ministerio De Educación, De Salas A Caja De Agua, Centro Res. Salas Mezz. Local 6, Altagracia - Caracas Caracas, Venezuela";"Escuelas De Automovilismo"
"AUTOESCUELA GESTORÍA CHACAITO";"";"Tel: (58) (212) 9539260";"Edif. Mario, Pido I, Chacaito - Caracas Caracas, Venezuela";"Escuelas De Automovilismo"
"AUTO ESCUELA ROSSINI, C.A.";"";"Tel: (58) (212) 2618443";"Caracas Caracas, Venezuela";"Escuelas De Automovilismo"
"AUTOESCUELA GESTORÍA YEPEZ";"";"Tel: (58) (212) 3258495";"Francisco De Miranda, Chacao - Caracas Caracas, Venezuela";"Escuelas De Automovilismo"
"AUTOESCUELA COLLARINO GESTORÍA";"";"Tel: (58) (212) 7617501";"Sabana Grande - Caracas Caracas, Venezuela";"Escuelas De Automovilismo"
"AUTO ESCUELA Y GESTORÍA VALIDO, S.R.L.";"";"Tel: (58) (212) 4720839";"Av Paez, Edf. Atlas Diagonal A La Redoma La India - Caracas Caracas, Venezuela";"Escuelas De Automovilismo"
"AUTO ESCUELA GESTORIA GIL";"";"Tel: (58) (212) 2354032";"Res. Concordia Sótano Av. Fco. De Mda. Los Ruices - Caracas Caracas, Venezuela";"Escuelas De Automovilismo"
"DRIVER SCHOOL BARUTA, C.A.";"";"Tel: (58) (212) 9459035";"Calle Salón, Baruta - Caracas Caracas, Venezuela";"Escuelas De Automovilismo"
"AUTOESCUELA Y GESTORÍA LIBERTADOR";"";"Tel: (58) (212) 7309066";"Av Los Jabillo. La Florida - Caracas Caracas, Venezuela";"Escuelas De Automovilismo"
"AUTO ESCUELA XTREMA";"";"Tel: (58) (212) 9457510";"Av Sn Sebastian, Baruta - Caracas Caracas, Venezuela";"Escuelas De Automovilismo"
"GREGG ACADEMY DE VENEZUELA";"";"Tel: (58) (212) 2657840";"Campo Alegre Caracas, Venezuela";"Escuelas De Comercio"
"ACADEMIA AMÉRICANA";"";"Tel: (58) (251) 4454835";"Barquisimeto Barquisimeto, Venezuela";"Escuelas De Comercio"
"CONSTRUCCIONES DEPORTIVAS POLICANCHAS C.A";"";"Tel: (58) (212) 2662955";"Altamira Caracas, Venezuela";"Escuelas De Comercio"
"ESCULTURAS BERMUDEZ C.A.";"";"Tel: (58) (212) 4163343";"Cl 1,Propatria Caracas, Venezuela";"Escultores"
"ESTUDIO DE ARTE LAS BARRACAS C.A.";"";"Tel: (58) (212) 3811620";"Caracas Caracas, Venezuela";"Escultores"
"FRANK ADOLFO ARTILES A.";"";"Tel: (58) (286) 5863549";"Av. Dalla Costa Ciudad Guayana Puerto Ordaz, Venezuela";"Esterilidad Infertilidad"
"ALFA FACHADAS, C.A.";"";"Tel: (58) (212) 4849729";"Esq. Cipreses, Santa Teresa Caracas, Venezuela";"Fachadas - Recuperación"
"NOUVEAU COLOR S.A.";"";"Tel: (58) (212) 9444230";"Cl. Colegio Americano Con La Victoria, Lc. 37-24, Las Minas De Baruta, Caracas, Venezuela";"Fachadas - Recuperación"
"MULTISERVICIOS JETI 1 C.A.";"";"Tel: (58) (212) 4517874";"Av. Páez, Centro Profesional El Paraíso, P. 3. Of.310, Caracas Caracas, Venezuela";"Fachadas - Recuperación"
"CONTRERAS VALLES INGENIEROS C.A.";"";"Tel: (58) (212) 6099330";"Caracas Caracas, Venezuela";"Fachadas - Recuperación"
"CAT CONSTRUCCIONES, C.A.";"";"Tel: (58) (212) 9854240";"Av. Circunvalacion Del Sol. Santa Paula Caracas, Venezuela";"Fachadas - Recuperación"
"ADHOC PROYECTOS Y OBRAS, C.A.";"";"Tel: (58) (212) 9914251";"Santa Marta - Caracas Caracas, Venezuela";"Fachadas - Recuperación"
"DISTRIBUIDORA JEV, C.A";"";"Tel: (58) (261) 7233803";"C.C Maracaibo P.B Loc 3 Centro Maracaibo, Venezuela";"Fantasías"
"BEAUTIFUL GIRL, C.A.";"";"Tel: (58) (241) 8423108";"Urb Trigal Norte, Av Mañongo C.C. Patio El Trigal, Local 609A, Valencia Valencia, Venezuela";"Fantasías"
"INVERSIONES PATTY CUNEO, C.A.";"";"Tel: (58) (241) 6182522";"C.C. Boulevard Center, Local 8 Big Low Center, Valencia Valencia, Venezuela";"Fantasías"
"ALMACENES LA URDANETA IMPORT";"";"Tel: (58) (212) 5611803";"Av. Urdaneta Pelota A Punceres La Candelaria Caracas, Venezuela";"Fantasías"
"INVERSIONES MARY-GREG, C.A";"";"Tel: (58) (261) 7238912";"Na Planta Alta Loc 16 Maracaibo, Venezuela";"Fantasías"
"KCHE";"";"Tel: (58) (261) 7495787";"C.C Doral Cneter , P A No 22 Maracaibo, Venezuela";"Fantasías"
"TOPACIO, C.A.";"";"Tel: (58) (212) 5614638";"Esq. Cuji A Punceres Caracas, Venezuela";"Fantasías"
"BEAUTY EXPRESS 18 C.A";"";"Tel: (58) (261) 7591398";"Cada 5 Julio , Entre Los Cajeros Automaticos Y Wester Union Zoom Av 5 De Julio Maracaibo Edo Zulia-Venezuela Maracaibo, Venezuela";"Fantasías"
"DISTRIBUIDORA CARLIETTE";"";"Tel: (58) (241) 8243620";"C.C. Las Acacias, Local 4 y 11 Av. Bolivar, Urb. Las Acacias Valencia, Venezuela";"Fantasías"
"EL UNIVERSO DE LA PIEDRA, C.A.";"";"Tel: (58) (212) 5644906";"Esq. Pelota, La Candelaria Caracas, Venezuela";"Fantasías"
"INVERSIONES CASTING 2020 C.A.";"";"Tel: (58) (212) 9777655";"Prados Del Este - Caracas Caracas, Venezuela";"Fantasías"
"DISTRIBUIDORA EL RINCON DEL ORFEBRE, C.A.";"";"Tel: (58) (212) 9852667";"El Cafetal - Caracas Caracas, Venezuela";"Fantasías"
"D'TEISI ACCESORIOS, C.A.";"";"Tel: (58) (212) 3811273";"C.C. Buenaventura Vista Place Nivel Mirador Guatire, Venezuela";"Fantasías"
"CREACIONES ALULIS, C.A.";"";"Tel: (58) (212) 2417154";"Caracas Caracas, Venezuela";"Fantasías"
"DISTRIBUIDORA CAVAN";"";"Tel: (58) (212) 5650712";"De Pelota A Marrón, Fte Al Banco Provincial Caracas, Venezuela";"Fantasías"
