"Name","Description","Phone","Directions","Website","Email","Cuisines","Horarios","Feactures","Meals","GoodFor","Url"
"Cafe Vienes",,"+56 2 2638 6213","Enrique Mac Iver 416 | Local 2, Santiago, Chile","http://www.cafevienes.cl/",,"Cafe",,"Wheelchair Accessible","Breakfast, Brunch","Kids, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d7349297-Reviews-Cafe_Vienes-Santiago_Santiago_Metropolitan_Region.html"
"Zabo Sushi & Cocktails",,"+56 2 2639 9925","Merced 346 - Local H | Lastarria, Santiago 8320126, Chile","http://www.zabo.cl/","reservas@zabo.cl","Japanese, Sushi, Asian, International, Vegetarian Friendly","Monday  12:30 pm - 12:30 am
Tuesday  12:30 pm - 12:30 am
Wednesday  12:30 pm - 12:30 am
Thursday  12:30 pm - 12:30 am
Friday  12:30 pm - 12:30 am
Saturday  12:30 pm - 12:30 am
","Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Highchairs Available","Lunch, Dinner, Breakfast, Late Night","Bar scene, Romantic, Large groups, Business meetings, Families with children, Kids","https://www.tripadvisor.com/Restaurant_Review-g294305-d8667988-Reviews-Zabo_Sushi_Cocktails-Santiago_Santiago_Metropolitan_Region.html"
"Sukine",,"+56 2 2735 8693","Antonia Lopez de Bello 244, Santiago 8320000, Chile","http://www.sukine.com/",,"Asian, Korean","Monday  12:00 pm - 10:00 pm
Tuesday  12:00 pm - 10:00 pm
Wednesday  12:00 pm - 10:00 pm
Thursday  12:00 pm - 10:00 pm
Friday  12:00 pm - 10:00 pm
Saturday  12:00 pm - 10:00 pm
","Takeout, Seating, Waitstaff","Lunch, Dinner, Late Night","Kids, Families with children, Large groups","https://www.tripadvisor.com/Restaurant_Review-g294305-d3982713-Reviews-Sukine-Santiago_Santiago_Metropolitan_Region.html"
"El Ancla",,"56029339154","Avda. Americo Vespucio Sur 01173 | La Cisterna, Santiago 8320000, Chile","http://www.elancla.cl/",,"Seafood, Soups","Sunday  12:30 pm - 4:30 pm
Monday  12:30 pm - 10:30 pm
Tuesday  12:30 pm - 10:30 pm
Wednesday  12:30 pm - 10:30 pm
Thursday  12:30 pm - 10:30 pm
Friday  12:30 pm - 11:00 pm
Saturday  12:30 pm - 11:00 pm
","Reservations, Wheelchair Accessible","Dinner, Lunch, Late Night","Business meetings, Kids, Families with children, Local cuisine","https://www.tripadvisor.com/Restaurant_Review-g294305-d3223181-Reviews-El_Ancla-Santiago_Santiago_Metropolitan_Region.html"
"Salvador",,"+56 2 2673 0619","Bombero Adolfo Ossa, 1059, Santiago, Chile","https://www.facebook.com/SalvadorCocinaYCafe",,"Chilean, South American, Vegetarian Friendly","Monday  8:00 am - 7:00 pm
Tuesday  8:00 am - 7:00 pm
Wednesday  8:00 am - 7:00 pm
Thursday  8:00 am - 7:00 pm
Friday  8:00 am - 7:00 pm
","Reservations, Waitstaff","Lunch, Breakfast","Local cuisine","https://www.tripadvisor.com/Restaurant_Review-g294305-d7307849-Reviews-Salvador-Santiago_Santiago_Metropolitan_Region.html"
"La Tasca de Altamar",,"+56 2 2211 1041","Noruega 6347, Santiago, Chile","http://www.latascadealtamar.cl/",,"Seafood","Sunday  12:30 pm - 10:45 pm
Monday  12:30 pm - 10:45 pm
Tuesday  12:30 pm - 10:45 pm
Wednesday  12:30 pm - 10:45 pm
Thursday  12:30 pm - 10:45 pm
Friday  12:30 pm - 10:45 pm
Saturday  12:30 pm - 10:45 pm
","Reservations, Outdoor Seating, Seating, Waitstaff, Highchairs Available, Wheelchair Accessible, Serves Alcohol","Lunch, Dinner, Late Night","Families with children, Special occasions","https://www.tripadvisor.com/Restaurant_Review-g294305-d1143329-Reviews-La_Tasca_de_Altamar-Santiago_Santiago_Metropolitan_Region.html"
"Bloom Cafe",,"+56 9 6594 0393","Merced 307, Santiago 8320115, Chile","http://www.bloomcafe.cl/","rodrigo@bloomcafe.cl","Cafe","Sunday  10:00 am - 9:00 pm
Monday  9:00 am - 9:00 pm
Tuesday  9:00 am - 9:00 pm
Wednesday  9:00 am - 9:00 pm
Thursday  9:00 am - 9:00 pm
Friday  9:00 am - 9:00 pm
Saturday  10:00 am - 9:00 pm
","Takeout","Breakfast, Lunch, Dinner",,"https://www.tripadvisor.com/Restaurant_Review-g294305-d8856336-Reviews-Bloom_Cafe-Santiago_Santiago_Metropolitan_Region.html"
"El Galeon",,"+56 2 2696 4258","Ismael Valdes Vergara 956, Santiago, Chile","http://www.elgaleon.cl/es/inicio/",,"Seafood, Soups, Chilean, South American","Sunday  10:00 am - 10:00 pm
Monday  10:00 am - 10:00 pm
Tuesday  10:00 am - 10:00 pm
Wednesday  10:00 am - 10:00 pm
Thursday  10:00 am - 10:00 pm
Friday  10:00 am - 10:00 pm
Saturday  10:00 am - 10:00 pm
","Reservations, Seating, Waitstaff, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi","Lunch, Breakfast, Late Night","Local cuisine, Families with children, Kids","https://www.tripadvisor.com/Restaurant_Review-g294305-d1125015-Reviews-El_Galeon-Santiago_Santiago_Metropolitan_Region.html"
"El kika Ilmenau",,"+56 2 2231 0260","Diego de Velasquez 2109 | Providencia, Santiago 7510183, Chile","http://www.elkika.cl/","info@elkika.cl","German, Bar",,"Takeout, Waitstaff, Wheelchair Accessible","Lunch, Dinner, Brunch, Late Night","Bar scene, Kids, Families with children, Large groups","https://www.tripadvisor.com/Restaurant_Review-g294305-d7308013-Reviews-El_kika_Ilmenau-Santiago_Santiago_Metropolitan_Region.html"
"Aomori",,"+56 2 2671 7180","Toesca 1920 B, Santiago, Chile","https://www.aomori.cl/",,"Peruvian, Sushi, South American, Japanese","Monday  12:00 pm - 12:30 am
Tuesday  12:00 pm - 12:30 am
Wednesday  12:00 pm - 12:30 am
Thursday  12:00 pm - 12:30 am
Friday  12:00 pm - 12:30 am
Saturday  12:00 pm - 12:30 am
","Delivery, Takeout, Reservations","Lunch, Dinner, Late Night","Kids, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d2715797-Reviews-Aomori-Santiago_Santiago_Metropolitan_Region.html"
"Tip y Tap",,"+56 2 2201 2527","Avenida Las Condes 6851, Santiago 10445, Chile","http://tipytap.cl/",,"Bar, Chilean, Vegetarian Friendly",,"Takeout, Outdoor Seating, Seating, Waitstaff, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi","Lunch, Dinner, Brunch, Late Night","Kids, Families with children, Local cuisine, Large groups","https://www.tripadvisor.com/Restaurant_Review-g294305-d798216-Reviews-Tip_y_Tap-Santiago_Santiago_Metropolitan_Region.html"
"El Novillero",,"+56 2 2672 6156","Moneda 1145, Santiago, Chile","http://www.elnovillero.cl/",,"Steakhouse, Barbecue, Chilean, South American","Monday  12:30 pm - 11:00 pm
Tuesday  12:30 pm - 11:00 pm
Wednesday  12:30 pm - 11:00 pm
Thursday  12:30 pm - 11:00 pm
Friday  12:30 pm - 11:00 pm
Saturday  12:30 pm - 11:00 pm
","Reservations","Lunch, Dinner","Special occasions, Large groups, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d4778813-Reviews-El_Novillero-Santiago_Santiago_Metropolitan_Region.html"
"Ana Maria Restaurant",,"+56(2)6984064","Club Hipico # 476 | Santiago Centro, Santiago, Chile","http://www.anamariarestaurant.cl/",,"Seafood, Chilean","Sunday  12:30 pm - 4:00 pm
Monday  12:30 pm - 4:00 pm
Tuesday  12:30 pm - 4:00 pm / 7:00 pm - 11:00 pm
Wednesday  12:30 pm - 4:00 pm / 7:00 pm - 11:00 pm
Thursday  12:30 pm - 4:00 pm / 7:00 pm - 11:00 pm
Friday  12:30 pm - 4:00 pm / 7:00 pm - 11:00 pm
Saturday  12:30 pm - 4:00 pm / 7:00 pm - 11:00 pm
","Reservations, Seating, Waitstaff, Highchairs Available, Serves Alcohol","Lunch, Dinner, Breakfast, Late Night","Kids, Large groups, Families with children, Local cuisine, Business meetings, Special occasions","https://www.tripadvisor.com/Restaurant_Review-g294305-d2037952-Reviews-Ana_Maria_Restaurant-Santiago_Santiago_Metropolitan_Region.html"
"Estro","By the hand of Chilean Farm to Table concept, we transfer to our kitchen the best local products, respecting the season of each ingredient, supporting the local producers, using responsible fishing and promoting organic products. The style that characterizes it: relaxed, warm, responsible and with a kitchen enriched with flavors and techniques of the world.","+56 2 2470 8585","Alcalde 15, Santiago 7550655, Chile","http://www.estro.cl/","restaurant.reservations@ritzcarlton.com","Chilean, International, Gluten Free Options, Vegetarian Friendly","Sunday  6:30 am - 11:00 pm
Monday  6:30 am - 11:00 pm
Tuesday  6:30 am - 11:00 pm
Wednesday  6:30 am - 11:00 pm
Thursday  6:30 am - 11:00 pm
Friday  6:30 am - 11:00 pm
Saturday  6:30 am - 11:00 pm
","Highchairs Available, Reservations, Outdoor Seating, Buffet, Private Dining, Seating, Waitstaff, Parking Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Validated Parking","Breakfast, Lunch, Dinner, Late Night","Special occasions, Large groups, Families with children, Bar scene, Business meetings, Romantic","https://www.tripadvisor.com/Restaurant_Review-g294305-d2441039-Reviews-Estro-Santiago_Santiago_Metropolitan_Region.html"
"La Cocina De Javier",,"+56 2 2495 7750","Avenida Vitacura 7482 | Vitacura, Santiago 7630253, Chile","http://www.lacocinadejavier.cl/","oficina@lacocinadejavier.cl","Seafood, Mediterranean, Spanish, International","Sunday  1:00 pm - 4:00 pm
Monday  1:00 pm - 12:00 am
Tuesday  1:00 pm - 12:00 am
Wednesday  1:00 pm - 12:00 am
Thursday  1:00 pm - 12:00 am
Friday  1:00 pm - 12:00 am
Saturday  1:00 pm - 12:00 am
","Outdoor Seating, Seating, Waitstaff, Parking Available, Street Parking, Validated Parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Delivery, Takeout, Reservations","Drinks, Lunch, Dinner, Late Night","Business meetings, Families with children, Kids, Special occasions, Romantic","https://www.tripadvisor.com/Restaurant_Review-g294305-d1020855-Reviews-La_Cocina_De_Javier-Santiago_Santiago_Metropolitan_Region.html"
"Madam Tusan",,"+56 2 2618 9752","Avenida Andres Bello 2447 | Local 5160 Costanera Center, Santiago 8320000, Chile","http://www.madamtusan.cl/",,"Chinese, Peruvian, Asian, Vegetarian Friendly",,"Reservations, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol","Lunch, Dinner","Large groups, Kids, Business meetings, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d7336329-Reviews-Madam_Tusan-Santiago_Santiago_Metropolitan_Region.html"
"Eladio",,"+56 2 2777 5083","Pio Nono 251 | Providencia, Santiago 8320000, Chile","https://www.eladio.cl/","reservabellavista@eladio.cl","Steakhouse, Latin, Barbecue, Chilean, South American",,"Reservations, Seating, Waitstaff, Highchairs Available, Serves Alcohol, Wheelchair Accessible","Lunch, Dinner, Breakfast, Late Night","Kids, Local cuisine, Business meetings, Large groups, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d1071530-Reviews-Eladio-Santiago_Santiago_Metropolitan_Region.html"
"Los Vikingos",,"+56 2 2770 0339","Avenida Ricardo Cumming 174 | Estacionamiento: Agustinas 2237, Santiago, Chile","http://losvikingos.restaurant/","marketing@oceanpacifics.cl","Seafood, Chilean","Sunday  12:00 pm - 11:00 pm
Monday  12:00 pm - 11:30 pm
Tuesday  12:00 pm - 11:30 pm
Wednesday  12:00 pm - 11:30 pm
Thursday  12:00 pm - 11:30 pm
Friday  12:00 pm - 12:30 am
Saturday  12:00 pm - 12:30 am
","Reservations, Seating, Waitstaff, Serves Alcohol, Buffet","Lunch, Dinner, Late Night","Kids, Families with children, Large groups, Special occasions","https://www.tripadvisor.com/Restaurant_Review-g294305-d810299-Reviews-Los_Vikingos-Santiago_Santiago_Metropolitan_Region.html"
"La Finestra",,"+56 2 2205 4502","Avenida Irarrazaval 3465 | Nunoa, Santiago 7760050, Chile","http://www.lafinestra.cl/","natalia.rojas.p@gmail.com","Italian, Pizza, Mediterranean, Vegetarian Friendly, Vegan Options","Sunday  12:30 am - 5:30 pm
Monday  12:30 am - 3:30 pm / 6:30 pm - 12:00 am
Tuesday  12:30 am - 3:30 pm / 6:30 pm - 12:00 am
Wednesday  12:30 am - 3:30 pm / 6:30 pm - 12:00 am
Thursday  12:30 am - 3:30 pm / 6:30 pm - 12:00 am
Friday  12:30 am - 3:30 pm / 6:30 pm - 12:00 am
Saturday  6:30 pm - 12:00 am
","Delivery, Takeout, Reservations, Outdoor Seating, Private Dining, Seating, Waitstaff, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi","Lunch, Dinner, Brunch, Late Night","Business meetings, Kids, Families with children, Romantic, Large groups, Bar scene, Special occasions","https://www.tripadvisor.com/Restaurant_Review-g294305-d5029506-Reviews-La_Finestra-Santiago_Santiago_Metropolitan_Region.html"
"El Aji Seco","Gastronomy restaurant chain Peruvian and International","+56 2 2434 6269","Enrique Mac Iver 366, Santiago 8320170, Chile","https://www.facebook.com/Restaurant-AJI-SECO-Mistico-1596378133960539","ajisecomistico@gmail.com","Peruvian, Latin, Seafood, International, South American, Vegetarian Friendly",,"Highchairs Available, Wheelchair Accessible, Serves Alcohol, Takeout, Reservations, Seating, Waitstaff, Television, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi","Lunch, Dinner, Breakfast, Late Night","Families with children, Kids, Large groups","https://www.tripadvisor.com/Restaurant_Review-g294305-d7052370-Reviews-El_Aji_Seco-Santiago_Santiago_Metropolitan_Region.html"
"Elkika",,"+56 2 2231 0260","Hernando De Aguirre 47, Santiago, Chile","http://www.elkika.cl/","info@elkika.cl","German, Bar, Fast Food, South American","Monday  9:00 am - 2:00 am
Tuesday  9:00 am - 2:00 am
Wednesday  9:00 am - 2:00 am
Thursday  9:00 am - 2:00 am
Friday  9:00 am - 2:00 am
Saturday  9:00 am - 2:00 am
","Outdoor Seating, Seating, Waitstaff, Television, Wheelchair Accessible, Serves Alcohol, Takeout, Highchairs Available","Lunch, Dinner, Late Night","Kids, Large groups, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d1012033-Reviews-Elkika-Santiago_Santiago_Metropolitan_Region.html"
"La Casa en El Aire",,"+56 2 2243 6902","Antonio Lopez de Bello 125, Santiago 8320000, Chile","http://www.lacasaenelaire.cl/",,"Latin, Bar, Chilean, South American, Colombian",,"Reservations, Outdoor Seating, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi","Lunch, Dinner, Late Night, Drinks","Local cuisine, Large groups, Bar scene, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d3525095-Reviews-La_Casa_en_El_Aire-Santiago_Santiago_Metropolitan_Region.html"
"La Pescaderia de Walker",,"+56 2 2481 8803","Monsenor Escriva de Balaguer 6400, Local 7 | Borde Rio, Santiago 8320000, Chile","http://lpdw.cl/","fwalker@lapescaderiarestaurant.cl","Seafood, Mediterranean, Chilean","Sunday  10:00 am - 12:00 am
Monday  10:00 am - 12:00 am
Tuesday  10:00 am - 12:00 am
Wednesday  10:00 am - 12:00 am
Thursday  10:00 am - 12:00 am
Friday  10:00 am - 12:00 am
Saturday  10:00 am - 12:00 am
","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar","Lunch, Dinner, Breakfast, Late Night","Business meetings, Kids, Families with children, Local cuisine, Large groups, Special occasions","https://www.tripadvisor.com/Restaurant_Review-g294305-d2703291-Reviews-La_Pescaderia_de_Walker-Santiago_Santiago_Metropolitan_Region.html"
"Voraz Pizza",,"+56 2 2235 6477","Avenida Providencia 1321 | Santiago, Santiago 7501008, Chile","http://www.vorazpizza.cl/","contacto@vorazpizza.cl","Italian, Pizza",,"Delivery, Takeout, Waitstaff, Wheelchair Accessible",,"Kids, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d3611525-Reviews-Voraz_Pizza-Santiago_Santiago_Metropolitan_Region.html"
"DOMINICA PIZZA",,"+56 9 9533 2098","Santa Filomena 17, Santiago 8320000, Chile","https://www.facebook.com/DominicaPizza/",,"Italian, Pizza, Brew Pub","Sunday  12:00 pm - 4:00 pm
Tuesday  12:30 pm - 12:30 am
Wednesday  12:30 pm - 12:30 am
Thursday  12:30 pm - 12:30 am
Friday  12:30 pm - 12:30 am
Saturday  12:30 pm - 12:30 am
","Reservations","Lunch, Dinner","Large groups, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d8601280-Reviews-DOMINICA_PIZZA-Santiago_Santiago_Metropolitan_Region.html"
"Emporio Armani Caffe","Italian restaurant , which is known for its excellent dishes, and attention","+56 2 2245 5005","Avenida Presidente Kennedy 5413, Santiago 8320000, Chile","http://www.parquearauco.cl/distrito-de-lujo/",,"Italian, Cafe, Mediterranean","Sunday  9:00 am - 12:00 am
Monday  9:00 am - 12:00 am
Tuesday  9:00 am - 12:00 am
Wednesday  9:00 am - 12:00 am
Thursday  9:00 am - 12:00 am
Friday  9:00 am - 1:00 am
Saturday  9:00 am - 1:00 am
","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Wheelchair Accessible, Serves Alcohol","Lunch, Dinner, Brunch, Late Night","Kids, Families with children, Special occasions, Business meetings, Romantic","https://www.tripadvisor.com/Restaurant_Review-g294305-d4829387-Reviews-Emporio_Armani_Caffe-Santiago_Santiago_Metropolitan_Region.html"
"Bar Nacional 1",,"+56 2 2696 5986","Huerfanos, 1151, Santiago, Chile","http://www.barnacional1.cl/cgi-sys/suspendedpage.cgi",,"Latin, Bar, Chilean","Saturday  10:30 am - 4:30 pm
","Seating, Waitstaff, Serves Alcohol, Full Bar","Breakfast, Lunch, Brunch, Dinner, Late Night","Large groups, Bar scene, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d1010299-Reviews-Bar_Nacional_1-Santiago_Santiago_Metropolitan_Region.html"
"Meze",,"+56 2 2378 3646","Avenida Manuel Montt 270 | Providencia, Santiago 7500591, Chile","https://www.facebook.com/RESTAURANTEMEZECHILE",,"Turkish, Middle Eastern, Mediterranean, Vegetarian Friendly",,"Reservations, Waitstaff","Lunch, Late Night","Romantic, Special occasions, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d7198587-Reviews-Meze-Santiago_Santiago_Metropolitan_Region.html"
"Mr. Jack",,"+56 2 2762 1169","Constitucion 54, Santiago 8320000, Chile","http://www.mrjack.cl/site/",,"Bar",,"Waitstaff","Dinner","Families with children, Kids, Bar scene","https://www.tripadvisor.com/Restaurant_Review-g294305-d7307961-Reviews-Mr_Jack-Santiago_Santiago_Metropolitan_Region.html"
"El Montanes",,"+56 2 321 1149","Av. El Colorado S/N | Estacionamiento Farellones Lo Barnechea, Santiago 8320000, Chile","http://elmontanes.cl/",,"Steakhouse",,"Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Television, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Highchairs Available","Brunch, Lunch, Dinner","Large groups, Bar scene, Kids, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d3376323-Reviews-El_Montanes-Santiago_Santiago_Metropolitan_Region.html"
"Pipeno Mesa Chilena","Chilean homemade fresh food served in a relaxed and informal atmosphere.","+56 9 9883 0018","General Flores 39, Santiago 7500546, Chile","http://www.pipenorestaurante.cl/","felipe.florenzano@gmail.com","Latin, Chilean, South American, Spanish, Pub, Gastropub","Monday  1:00 pm - 5:30 pm / 7:00 pm - 12:30 am
Tuesday  1:00 pm - 5:30 pm / 7:00 pm - 12:30 am
Wednesday  1:00 pm - 5:30 pm / 7:00 pm - 12:30 am
Thursday  1:00 pm - 5:30 pm / 7:00 pm - 12:30 am
Friday  1:00 pm - 5:30 pm / 7:00 pm - 12:30 am
Saturday  2:00 pm - 6:30 pm / 8:00 pm - 1:00 am
","Takeout, Seating, Waitstaff, Street Parking, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Highchairs Available, Wheelchair Accessible","Lunch, Dinner, Drinks","Families with children, Special occasions, Bar scene, Local cuisine","https://www.tripadvisor.com/Restaurant_Review-g294305-d7080020-Reviews-Pipeno_Mesa_Chilena-Santiago_Santiago_Metropolitan_Region.html"
"La Percanta",,"+56 2 2247 2358","Av El Rodeo 13350 | Lo Barnechea, Santiago 8320000, Chile","http://www.lapercanta.cl/","contacto@lapercanta.cl","Steakhouse, Barbecue, South American","Sunday  12:30 pm - 5:00 pm
Tuesday  12:30 pm - 12:00 am
Wednesday  12:30 pm - 12:00 am
Thursday  12:30 pm - 12:00 am
Friday  12:30 pm - 1:00 am
Saturday  12:30 pm - 1:00 am
","Reservations, Outdoor Seating, Seating, Waitstaff, Highchairs Available, Serves Alcohol","Lunch, Dinner, Late Night","Bar scene, Business meetings, Kids, Special occasions, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d4064019-Reviews-La_Percanta-Santiago_Santiago_Metropolitan_Region.html"
"Cafe Mozart",,"5622190700","Av. Luis Pasteur 5852, Vitacura, Santiago, Chile","http://www.mozart.cl/contactenos",,"Cafe","Sunday  8:00 am - 9:00 pm
Monday  8:00 am - 9:00 pm
Tuesday  8:00 am - 9:00 pm
Wednesday  8:00 am - 9:00 pm
Thursday  8:00 am - 9:00 pm
Friday  8:00 am - 9:00 pm
Saturday  8:00 am - 9:00 pm
","Delivery, Takeout, Outdoor Seating, Seating, Waitstaff, Parking Available, Street Parking, Validated Parking, Highchairs Available, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi","Breakfast, Lunch","Kids, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d1019408-Reviews-Cafe_Mozart-Santiago_Santiago_Metropolitan_Region.html"
"Fuente Las Cabras",,"+56 2 2232 9671","Luis Thayer Ojeda 0116 | Barrio Plaza la Alcaldesa, Santiago 7500000, Chile","https://www.facebook.com/LasCabrasFuenteDeSoda",,"Latin, Bar, Chilean, South American","Sunday  1:00 pm - 12:00 am
Monday  9:00 am - 11:30 am / 12:30 pm - 12:59 am
Tuesday  9:00 am - 11:30 am / 12:30 pm - 12:59 am
Wednesday  9:00 am - 11:30 am / 12:30 pm - 12:59 am
Thursday  9:00 am - 11:30 am / 12:30 pm - 12:59 am
Friday  9:00 am - 11:30 am / 12:30 pm - 12:59 am
Saturday  1:00 pm - 12:45 am
","Outdoor Seating, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol","Lunch, Dinner, Late Night","Local cuisine, Kids","https://www.tripadvisor.com/Restaurant_Review-g294305-d7647334-Reviews-Fuente_Las_Cabras-Santiago_Santiago_Metropolitan_Region.html"
"Luco's",,"+56 982617468","Orrego Luco 034, Santiago 8320000, Chile","https://www.lucoshamburgueseria.cl/","info@eljardindepicuro.cl","Bar","Monday  12:30 pm - 11:00 pm
Tuesday  12:30 pm - 12:30 am
Wednesday  12:30 pm - 1:00 am
Thursday  12:30 pm - 1:00 am
Friday  12:30 pm - 2:00 am
Saturday  1:30 pm - 1:00 am
","Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Serves Alcohol, Free Wifi","Lunch, Dinner","Kids, Bar scene, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d10063351-Reviews-Luco_s-Santiago_Santiago_Metropolitan_Region.html"
"Olimpia Fuente de Soda & Pizzeria",,"5622331330","Avenida Providencia 2033, Santiago 7510148, Chile","https://www.facebook.com/OLIMPIA-Fuente-de-Soda-Pizzer%C3%ADa-927802747236076/","chinoarellanoelorrieta@gmail.com","Italian, Bar, Pizza, Vegetarian Friendly","Sunday  1:30 am - 11:30 pm
Monday  11:00 am - 1:30 am
Tuesday  11:00 am - 1:30 am
Wednesday  11:00 am - 1:30 am
Thursday  11:00 am - 1:30 am
Friday  11:00 am - 1:30 am
Saturday  11:00 am - 1:30 am
","Reservations, Outdoor Seating, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only","Lunch, Dinner, Late Night","Kids, Families with children, Bar scene","https://www.tripadvisor.com/Restaurant_Review-g294305-d7345698-Reviews-Olimpia_Fuente_de_Soda_Pizzeria-Santiago_Santiago_Metropolitan_Region.html"
"Don Gaviota",,"6211838","Av. El Roble 1190 | Recoleta, Santiago, Chile","http://dongaviota.cl/home.html/",,"Seafood, Chilean, South American","Sunday  12:30 pm - 5:00 pm
Monday  12:30 pm - 11:00 pm
Tuesday  12:30 pm - 11:00 pm
Wednesday  12:30 pm - 11:00 pm
Thursday  12:30 pm - 11:00 pm
Friday  12:30 pm - 11:00 pm
Saturday  12:30 pm - 11:00 pm
","Reservations, Serves Alcohol","Lunch, Dinner","Kids, Special occasions, Local cuisine, Families with children","https://www.tripadvisor.com/Restaurant_Review-g294305-d3598886-Reviews-Don_Gaviota-Santiago_Santiago_Metropolitan_Region.html"
"El Barrio",,"+56 9 5468 3531","Alonso de Cordova, 4263 | Vitacura, Santiago, Chile","http://www.elbarrio.chriscarpentier.cl/",,"Latin, Mediterranean, Chilean, South American, Vegetarian Friendly","Monday  12:30 pm - 3:30 pm / 7:30 pm - 12:00 am
Tuesday  12:30 pm - 3:30 pm / 7:30 pm - 12:00 am
Wednesday  12:30 pm - 3:30 pm / 7:30 pm - 12:00 am
Thursday  12:30 pm - 3:30 pm / 7:30 pm - 12:00 am
Friday  12:30 pm - 3:30 pm / 7:30 pm - 12:00 am
Saturday  12:30 pm - 3:30 pm / 7:30 pm - 12:00 am
","Reservations, Outdoor Seating, Seating, Waitstaff, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar","Lunch, Dinner, Late Night","Large groups, Romantic, Special occasions, Business meetings","https://www.tripadvisor.com/Restaurant_Review-g294305-d6208333-Reviews-El_Barrio-Santiago_Santiago_Metropolitan_Region.html"
"Vista Santiago","With a personalized service and a unique atmosphere, Vista Santiago Restaurant offers our visitors a unique dining experience. Rescuing the roots of the finest chilean cuisine with a touch of elegance, Vista Santiago Restaurant stands as the best alternative to enjoy lunch, dinner and a iconic sunset.","+56 2 2335 4463","Cerro San Cristobal Camino Interior S/N, Santiago 8320000, Chile","https://www.facebook.com/pages/Vista-Santiago-Restaurant/1515700712028338","ventas@vistasantiago.cl","Mediterranean, Chilean, International","Tuesday  12:00 pm - 3:00 pm / 7:00 pm - 11:00 pm
Wednesday  12:00 pm - 3:00 pm / 7:00 pm - 11:00 pm
Thursday  12:00 pm - 3:00 pm / 7:00 pm - 11:00 pm
Friday  12:00 pm - 3:00 pm / 7:00 pm - 11:00 pm
Saturday  12:00 pm - 3:00 pm / 7:00 pm - 11:00 pm
","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Free Off-Street Parking, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi","Lunch, Dinner, Drinks","Business meetings, Special occasions","https://www.tripadvisor.com/Restaurant_Review-g294305-d7696979-Reviews-Vista_Santiago-Santiago_Santiago_Metropolitan_Region.html"
